Logging
iteration 0 | D LOSS = 1.4262 | G LOSS = 0.6355 | mean_pen: 0.0174 |  
iteration 50 | D LOSS = 1.2283 | G LOSS = 0.9005 | mean_pen: 0.0065 |  
iteration 100 | D LOSS = 1.2748 | G LOSS = 0.8218 | mean_pen: 0.0004 |  
iteration 150 | D LOSS = 1.2772 | G LOSS = 0.8161 | mean_pen: 0.0001 |  
iteration 200 | D LOSS = 1.2788 | G LOSS = 0.8094 | mean_pen: 0.0000 |  
iteration 250 | D LOSS = 1.2775 | G LOSS = 0.8155 | mean_pen: 0.0001 |  
iteration 300 | D LOSS = 1.2719 | G LOSS = 0.8098 | mean_pen: 0.0001 |  
iteration 350 | D LOSS = 1.2732 | G LOSS = 0.8146 | mean_pen: 0.0000 |  
iteration 400 | D LOSS = 1.2682 | G LOSS = 0.8148 | mean_pen: 0.0000 |  
iteration 450 | D LOSS = 1.2679 | G LOSS = 0.8162 | mean_pen: 0.0000 |  
iteration 500 | D LOSS = 1.2644 | G LOSS = 0.8163 | mean_pen: 0.0000 |  
iteration 550 | D LOSS = 1.2698 | G LOSS = 0.8260 | mean_pen: 0.0000 |  
iteration 600 | D LOSS = 1.2632 | G LOSS = 0.8216 | mean_pen: 0.0000 |  
iteration 650 | D LOSS = 1.2615 | G LOSS = 0.8260 | mean_pen: 0.0000 |  
iteration 700 | D LOSS = 1.2569 | G LOSS = 0.8226 | mean_pen: 0.0000 |  
iteration 750 | D LOSS = 1.2517 | G LOSS = 0.8357 | mean_pen: 0.0000 |  
iteration 800 | D LOSS = 1.2533 | G LOSS = 0.8390 | mean_pen: 0.0000 |  
iteration 850 | D LOSS = 1.2531 | G LOSS = 0.8402 | mean_pen: 0.0000 |  
iteration 900 | D LOSS = 1.2475 | G LOSS = 0.8468 | mean_pen: 0.0000 |  
iteration 950 | D LOSS = 1.2417 | G LOSS = 0.8458 | mean_pen: 0.0000 |  
iteration 1000 | D LOSS = 1.2432 | G LOSS = 0.8493 | mean_pen: 0.0000 |  
iteration 1050 | D LOSS = 1.2387 | G LOSS = 0.8483 | mean_pen: 0.0000 |  
iteration 1100 | D LOSS = 1.2329 | G LOSS = 0.8495 | mean_pen: 0.0000 |  
iteration 1150 | D LOSS = 1.2366 | G LOSS = 0.8582 | mean_pen: 0.0000 |  
iteration 1200 | D LOSS = 1.2345 | G LOSS = 0.8582 | mean_pen: 0.0000 |  
iteration 1250 | D LOSS = 1.2321 | G LOSS = 0.8676 | mean_pen: 0.0000 |  
iteration 1300 | D LOSS = 1.2217 | G LOSS = 0.8652 | mean_pen: 0.0000 |  
iteration 1350 | D LOSS = 1.2199 | G LOSS = 0.8693 | mean_pen: 0.0000 |  
iteration 1400 | D LOSS = 1.2303 | G LOSS = 0.8687 | mean_pen: 0.0000 |  
iteration 1450 | D LOSS = 1.2204 | G LOSS = 0.8726 | mean_pen: 0.0000 |  
iteration 1500 | D LOSS = 1.2217 | G LOSS = 0.8784 | mean_pen: 0.0000 |  
iteration 1550 | D LOSS = 1.2146 | G LOSS = 0.8786 | mean_pen: 0.0000 |  
iteration 1600 | D LOSS = 1.2125 | G LOSS = 0.8783 | mean_pen: 0.0000 |  
iteration 1650 | D LOSS = 1.2234 | G LOSS = 0.8803 | mean_pen: 0.0000 |  
iteration 1700 | D LOSS = 1.2086 | G LOSS = 0.8811 | mean_pen: 0.0000 |  
iteration 1750 | D LOSS = 1.2088 | G LOSS = 0.8834 | mean_pen: 0.0000 |  
iteration 1800 | D LOSS = 1.2091 | G LOSS = 0.8838 | mean_pen: 0.0000 |  
iteration 1850 | D LOSS = 1.2088 | G LOSS = 0.8875 | mean_pen: 0.0000 |  
iteration 1900 | D LOSS = 1.2096 | G LOSS = 0.8920 | mean_pen: 0.0000 |  
