α=1.00%, θ*=1.25, TPR=1.0000, FPR=0.0042, PPV=0.9958, Advantage=0.9958
α=2.00%, θ*=1.35, TPR=1.0000, FPR=0.0149, PPV=0.9854, Advantage=0.9851
α=3.00%, θ*=1.45, TPR=1.0000, FPR=0.0255, PPV=0.9752, Advantage=0.9745
α=4.00%, θ*=1.50, TPR=1.0000, FPR=0.0340, PPV=0.9671, Advantage=0.9660
α=5.00%, θ*=1.50, TPR=1.0000, FPR=0.0340, PPV=0.9671, Advantage=0.9660
α=6.00%, θ*=1.55, TPR=1.0000, FPR=0.0510, PPV=0.9515, Advantage=0.9490
α=7.00%, θ*=1.55, TPR=1.0000, FPR=0.0510, PPV=0.9515, Advantage=0.9490
α=8.00%, θ*=1.60, TPR=1.0000, FPR=0.0722, PPV=0.9327, Advantage=0.9278
α=9.00%, θ*=1.60, TPR=1.0000, FPR=0.0722, PPV=0.9327, Advantage=0.9278
α=10.00%, θ*=1.65, TPR=1.0000, FPR=0.0934, PPV=0.9146, Advantage=0.9066
α=11.00%, θ*=1.65, TPR=1.0000, FPR=0.0934, PPV=0.9146, Advantage=0.9066
α=12.00%, θ*=1.65, TPR=1.0000, FPR=0.0934, PPV=0.9146, Advantage=0.9066
α=13.00%, θ*=1.65, TPR=1.0000, FPR=0.0934, PPV=0.9146, Advantage=0.9066
α=14.00%, θ*=1.70, TPR=1.0000, FPR=0.1338, PPV=0.8820, Advantage=0.8662
α=15.00%, θ*=1.70, TPR=1.0000, FPR=0.1338, PPV=0.8820, Advantage=0.8662
α=16.00%, θ*=1.70, TPR=1.0000, FPR=0.1338, PPV=0.8820, Advantage=0.8662
α=17.00%, θ*=1.70, TPR=1.0000, FPR=0.1338, PPV=0.8820, Advantage=0.8662
α=18.00%, θ*=1.70, TPR=1.0000, FPR=0.1338, PPV=0.8820, Advantage=0.8662
α=19.00%, θ*=1.75, TPR=1.0000, FPR=0.1847, PPV=0.8441, Advantage=0.8153
α=20.00%, θ*=1.75, TPR=1.0000, FPR=0.1847, PPV=0.8441, Advantage=0.8153
α=21.00%, θ*=1.75, TPR=1.0000, FPR=0.1847, PPV=0.8441, Advantage=0.8153
α=22.00%, θ*=1.75, TPR=1.0000, FPR=0.1847, PPV=0.8441, Advantage=0.8153
α=23.00%, θ*=1.75, TPR=1.0000, FPR=0.1847, PPV=0.8441, Advantage=0.8153
α=24.00%, θ*=1.80, TPR=1.0000, FPR=0.2357, PPV=0.8093, Advantage=0.7643
α=25.00%, θ*=1.80, TPR=1.0000, FPR=0.2357, PPV=0.8093, Advantage=0.7643
α=26.00%, θ*=1.80, TPR=1.0000, FPR=0.2357, PPV=0.8093, Advantage=0.7643
α=27.00%, θ*=1.80, TPR=1.0000, FPR=0.2357, PPV=0.8093, Advantage=0.7643
α=28.00%, θ*=1.85, TPR=1.0000, FPR=0.2739, PPV=0.7850, Advantage=0.7261
α=29.00%, θ*=1.90, TPR=1.0000, FPR=0.2803, PPV=0.7811, Advantage=0.7197
α=30.00%, θ*=1.90, TPR=1.0000, FPR=0.2803, PPV=0.7811, Advantage=0.7197
α=31.00%, θ*=1.90, TPR=1.0000, FPR=0.2803, PPV=0.7811, Advantage=0.7197
α=32.00%, θ*=1.90, TPR=1.0000, FPR=0.2803, PPV=0.7811, Advantage=0.7197
α=33.00%, θ*=1.95, TPR=1.0000, FPR=0.3248, PPV=0.7548, Advantage=0.6752
α=34.00%, θ*=1.95, TPR=1.0000, FPR=0.3248, PPV=0.7548, Advantage=0.6752
α=35.00%, θ*=1.95, TPR=1.0000, FPR=0.3248, PPV=0.7548, Advantage=0.6752
α=36.00%, θ*=1.95, TPR=1.0000, FPR=0.3248, PPV=0.7548, Advantage=0.6752
α=37.00%, θ*=1.95, TPR=1.0000, FPR=0.3248, PPV=0.7548, Advantage=0.6752
α=38.00%, θ*=1.95, TPR=1.0000, FPR=0.3248, PPV=0.7548, Advantage=0.6752
α=39.00%, θ*=1.95, TPR=1.0000, FPR=0.3248, PPV=0.7548, Advantage=0.6752
α=40.00%, θ*=2.00, TPR=1.0000, FPR=0.3907, PPV=0.7191, Advantage=0.6093
α=41.00%, θ*=2.00, TPR=1.0000, FPR=0.3907, PPV=0.7191, Advantage=0.6093
