α=1.00%, θ*=2.60, TPR=0.0057, FPR=0.0063, PPV=0.4715, Advantage=-0.0007
α=2.00%, θ*=2.65, TPR=0.0089, FPR=0.0169, PPV=0.3437, Advantage=-0.0081
α=3.00%, θ*=2.70, TPR=0.0172, FPR=0.0211, PPV=0.4489, Advantage=-0.0039
α=4.00%, θ*=2.70, TPR=0.0172, FPR=0.0211, PPV=0.4489, Advantage=-0.0039
α=5.00%, θ*=2.75, TPR=0.0423, FPR=0.0402, PPV=0.5131, Advantage=0.0022
α=6.00%, θ*=2.80, TPR=0.0716, FPR=0.0571, PPV=0.5564, Advantage=0.0145
α=7.00%, θ*=2.80, TPR=0.0716, FPR=0.0571, PPV=0.5564, Advantage=0.0145
α=8.00%, θ*=2.80, TPR=0.0716, FPR=0.0571, PPV=0.5564, Advantage=0.0145
α=9.00%, θ*=2.80, TPR=0.0716, FPR=0.0571, PPV=0.5564, Advantage=0.0145
α=10.00%, θ*=2.80, TPR=0.0716, FPR=0.0571, PPV=0.5564, Advantage=0.0145
α=11.00%, θ*=2.80, TPR=0.0716, FPR=0.0571, PPV=0.5564, Advantage=0.0145
α=12.00%, θ*=2.85, TPR=0.1061, FPR=0.1121, PPV=0.4863, Advantage=-0.0060
α=13.00%, θ*=2.85, TPR=0.1061, FPR=0.1121, PPV=0.4863, Advantage=-0.0060
α=14.00%, θ*=2.85, TPR=0.1061, FPR=0.1121, PPV=0.4863, Advantage=-0.0060
α=15.00%, θ*=2.85, TPR=0.1061, FPR=0.1121, PPV=0.4863, Advantage=-0.0060
α=16.00%, θ*=2.85, TPR=0.1061, FPR=0.1121, PPV=0.4863, Advantage=-0.0060
α=17.00%, θ*=2.85, TPR=0.1061, FPR=0.1121, PPV=0.4863, Advantage=-0.0060
α=18.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=19.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=20.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=21.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=22.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=23.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=24.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=25.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=26.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=27.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=28.00%, θ*=2.90, TPR=0.1582, FPR=0.1755, PPV=0.4741, Advantage=-0.0173
α=29.00%, θ*=2.95, TPR=0.2382, FPR=0.2833, PPV=0.4567, Advantage=-0.0451
α=30.00%, θ*=2.95, TPR=0.2382, FPR=0.2833, PPV=0.4567, Advantage=-0.0451
α=31.00%, θ*=2.95, TPR=0.2382, FPR=0.2833, PPV=0.4567, Advantage=-0.0451
α=32.00%, θ*=2.95, TPR=0.2382, FPR=0.2833, PPV=0.4567, Advantage=-0.0451
α=33.00%, θ*=2.95, TPR=0.2382, FPR=0.2833, PPV=0.4567, Advantage=-0.0451
α=34.00%, θ*=2.95, TPR=0.2382, FPR=0.2833, PPV=0.4567, Advantage=-0.0451
α=35.00%, θ*=2.95, TPR=0.2382, FPR=0.2833, PPV=0.4567, Advantage=-0.0451
