Logging
iteration 0 | D LOSS = 1.3819 | G LOSS = -0.1212 | AVG R =0.5006 | mean_pen: 0.0175 |  
iteration 50 | D LOSS = 1.3463 | G LOSS = -0.1004 | AVG R =0.4743 | mean_pen: 0.0034 |  
iteration 100 | D LOSS = 1.3838 | G LOSS = -0.0432 | AVG R =0.4971 | mean_pen: 0.0002 |  
iteration 150 | D LOSS = 1.3819 | G LOSS = -0.0365 | AVG R =0.4937 | mean_pen: 0.0002 |  
iteration 200 | D LOSS = 1.3798 | G LOSS = -0.0287 | AVG R =0.4965 | mean_pen: 0.0002 |  
iteration 250 | D LOSS = 1.3776 | G LOSS = -0.0256 | AVG R =0.4953 | mean_pen: 0.0002 |  
iteration 300 | D LOSS = 1.3749 | G LOSS = -0.0215 | AVG R =0.4942 | mean_pen: 0.0002 |  
iteration 350 | D LOSS = 1.3713 | G LOSS = -0.0151 | AVG R =0.4937 | mean_pen: 0.0001 |  
iteration 400 | D LOSS = 1.3682 | G LOSS = -0.0211 | AVG R =0.4917 | mean_pen: 0.0001 |  
iteration 450 | D LOSS = 1.3661 | G LOSS = -0.0168 | AVG R =0.4884 | mean_pen: 0.0001 |  
iteration 500 | D LOSS = 1.3643 | G LOSS = -0.0228 | AVG R =0.4886 | mean_pen: 0.0001 |  
iteration 550 | D LOSS = 1.3626 | G LOSS = -0.0149 | AVG R =0.4870 | mean_pen: 0.0001 |  
iteration 600 | D LOSS = 1.3613 | G LOSS = -0.0202 | AVG R =0.4879 | mean_pen: 0.0002 |  
iteration 650 | D LOSS = 1.3601 | G LOSS = -0.0212 | AVG R =0.4876 | mean_pen: 0.0002 |  
iteration 700 | D LOSS = 1.3587 | G LOSS = -0.0232 | AVG R =0.4862 | mean_pen: 0.0002 |  
iteration 750 | D LOSS = 1.3573 | G LOSS = -0.0187 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 800 | D LOSS = 1.3574 | G LOSS = -0.0157 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 850 | D LOSS = 1.3555 | G LOSS = -0.0163 | AVG R =0.4842 | mean_pen: 0.0002 |  
iteration 900 | D LOSS = 1.3545 | G LOSS = -0.0171 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 950 | D LOSS = 1.3557 | G LOSS = -0.0244 | AVG R =0.4847 | mean_pen: 0.0003 |  
iteration 1000 | D LOSS = 1.3542 | G LOSS = -0.0208 | AVG R =0.4848 | mean_pen: 0.0002 |  
iteration 1050 | D LOSS = 1.3567 | G LOSS = -0.0161 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 1100 | D LOSS = 1.3571 | G LOSS = -0.0249 | AVG R =0.4842 | mean_pen: 0.0002 |  
iteration 1150 | D LOSS = 1.3562 | G LOSS = -0.0205 | AVG R =0.4841 | mean_pen: 0.0003 |  
iteration 1200 | D LOSS = 1.3570 | G LOSS = -0.0135 | AVG R =0.4851 | mean_pen: 0.0003 |  
iteration 1250 | D LOSS = 1.3575 | G LOSS = -0.0105 | AVG R =0.4863 | mean_pen: 0.0002 |  
iteration 1300 | D LOSS = 1.3582 | G LOSS = -0.0205 | AVG R =0.4850 | mean_pen: 0.0002 |  
iteration 1350 | D LOSS = 1.3568 | G LOSS = -0.0203 | AVG R =0.4843 | mean_pen: 0.0002 |  
iteration 1400 | D LOSS = 1.3583 | G LOSS = -0.0123 | AVG R =0.4855 | mean_pen: 0.0002 |  
iteration 1450 | D LOSS = 1.3557 | G LOSS = -0.0089 | AVG R =0.4854 | mean_pen: 0.0002 |  
iteration 1500 | D LOSS = 1.3577 | G LOSS = -0.0104 | AVG R =0.4857 | mean_pen: 0.0003 |  
iteration 1550 | D LOSS = 1.3578 | G LOSS = -0.0156 | AVG R =0.4857 | mean_pen: 0.0003 |  
iteration 1600 | D LOSS = 1.3590 | G LOSS = -0.0203 | AVG R =0.4859 | mean_pen: 0.0002 |  
iteration 1650 | D LOSS = 1.3590 | G LOSS = -0.0171 | AVG R =0.4862 | mean_pen: 0.0002 |  
iteration 1700 | D LOSS = 1.3606 | G LOSS = -0.0169 | AVG R =0.4874 | mean_pen: 0.0002 |  
iteration 1750 | D LOSS = 1.3613 | G LOSS = -0.0175 | AVG R =0.4873 | mean_pen: 0.0002 |  
iteration 1800 | D LOSS = 1.3628 | G LOSS = -0.0126 | AVG R =0.4882 | mean_pen: 0.0002 |  
iteration 1850 | D LOSS = 1.3627 | G LOSS = -0.0169 | AVG R =0.4886 | mean_pen: 0.0002 |  
iteration 1900 | D LOSS = 1.3631 | G LOSS = -0.0219 | AVG R =0.4883 | mean_pen: 0.0002 |  
iteration 1950 | D LOSS = 1.3637 | G LOSS = -0.0220 | AVG R =0.4885 | mean_pen: 0.0001 |  
iteration 2000 | D LOSS = 1.3630 | G LOSS = -0.0241 | AVG R =0.4884 | mean_pen: 0.0002 |  
iteration 2050 | D LOSS = 1.3628 | G LOSS = -0.0184 | AVG R =0.4890 | mean_pen: 0.0002 |  
iteration 2100 | D LOSS = 1.3639 | G LOSS = -0.0204 | AVG R =0.4885 | mean_pen: 0.0001 |  
iteration 2150 | D LOSS = 1.3639 | G LOSS = -0.0205 | AVG R =0.4883 | mean_pen: 0.0002 |  
iteration 2200 | D LOSS = 1.3644 | G LOSS = -0.0164 | AVG R =0.4897 | mean_pen: 0.0002 |  
iteration 2250 | D LOSS = 1.3657 | G LOSS = -0.0206 | AVG R =0.4894 | mean_pen: 0.0001 |  
iteration 2300 | D LOSS = 1.3665 | G LOSS = -0.0198 | AVG R =0.4902 | mean_pen: 0.0001 |  
iteration 2350 | D LOSS = 1.3671 | G LOSS = -0.0118 | AVG R =0.4902 | mean_pen: 0.0001 |  
iteration 2400 | D LOSS = 1.3667 | G LOSS = -0.0187 | AVG R =0.4907 | mean_pen: 0.0001 |  
iteration 2450 | D LOSS = 1.3677 | G LOSS = -0.0113 | AVG R =0.4906 | mean_pen: 0.0001 |  
iteration 2500 | D LOSS = 1.3698 | G LOSS = -0.0171 | AVG R =0.4915 | mean_pen: 0.0001 |  
iteration 2550 | D LOSS = 1.3678 | G LOSS = -0.0099 | AVG R =0.4914 | mean_pen: 0.0001 |  
iteration 2600 | D LOSS = 1.3695 | G LOSS = -0.0142 | AVG R =0.4921 | mean_pen: 0.0001 |  
iteration 2650 | D LOSS = 1.3691 | G LOSS = -0.0099 | AVG R =0.4922 | mean_pen: 0.0001 |  
iteration 2700 | D LOSS = 1.3711 | G LOSS = -0.0199 | AVG R =0.4919 | mean_pen: 0.0001 |  
iteration 2750 | D LOSS = 1.3714 | G LOSS = -0.0106 | AVG R =0.4916 | mean_pen: 0.0001 |  
iteration 2800 | D LOSS = 1.3711 | G LOSS = -0.0092 | AVG R =0.4919 | mean_pen: 0.0001 |  
iteration 2850 | D LOSS = 1.3716 | G LOSS = -0.0082 | AVG R =0.4920 | mean_pen: 0.0001 |  
iteration 2900 | D LOSS = 1.3700 | G LOSS = -0.0103 | AVG R =0.4920 | mean_pen: 0.0001 |  
iteration 2950 | D LOSS = 1.3718 | G LOSS = -0.0094 | AVG R =0.4921 | mean_pen: 0.0001 |  
iteration 3000 | D LOSS = 1.3717 | G LOSS = -0.0037 | AVG R =0.4918 | mean_pen: 0.0001 |  
iteration 3050 | D LOSS = 1.3710 | G LOSS = -0.0010 | AVG R =0.4926 | mean_pen: 0.0001 |  
iteration 3100 | D LOSS = 1.3727 | G LOSS = -0.0088 | AVG R =0.4919 | mean_pen: 0.0001 |  
iteration 3150 | D LOSS = 1.3711 | G LOSS = -0.0120 | AVG R =0.4925 | mean_pen: 0.0001 |  
iteration 3200 | D LOSS = 1.3719 | G LOSS = -0.0054 | AVG R =0.4930 | mean_pen: 0.0001 |  
iteration 3250 | D LOSS = 1.3729 | G LOSS = -0.0083 | AVG R =0.4932 | mean_pen: 0.0001 |  
iteration 3300 | D LOSS = 1.3728 | G LOSS = -0.0125 | AVG R =0.4929 | mean_pen: 0.0001 |  
iteration 3350 | D LOSS = 1.3725 | G LOSS = -0.0091 | AVG R =0.4935 | mean_pen: 0.0001 |  
iteration 3400 | D LOSS = 1.3720 | G LOSS = -0.0030 | AVG R =0.4913 | mean_pen: 0.0001 |  
iteration 3450 | D LOSS = 1.3739 | G LOSS = -0.0062 | AVG R =0.4931 | mean_pen: 0.0001 |  
iteration 3500 | D LOSS = 1.3752 | G LOSS = -0.0003 | AVG R =0.4952 | mean_pen: 0.0001 |  
iteration 3550 | D LOSS = 1.3755 | G LOSS = -0.0088 | AVG R =0.4938 | mean_pen: 0.0001 |  
iteration 3600 | D LOSS = 1.3746 | G LOSS = -0.0096 | AVG R =0.4940 | mean_pen: 0.0001 |  
iteration 3650 | D LOSS = 1.3744 | G LOSS = -0.0029 | AVG R =0.4937 | mean_pen: 0.0001 |  
iteration 3700 | D LOSS = 1.3743 | G LOSS = -0.0019 | AVG R =0.4941 | mean_pen: 0.0001 |  
iteration 3750 | D LOSS = 1.3736 | G LOSS = -0.0059 | AVG R =0.4944 | mean_pen: 0.0001 |  
iteration 3800 | D LOSS = 1.3741 | G LOSS = 0.0007 | AVG R =0.4944 | mean_pen: 0.0001 |  
iteration 3850 | D LOSS = 1.3733 | G LOSS = -0.0064 | AVG R =0.4938 | mean_pen: 0.0001 |  
iteration 3900 | D LOSS = 1.3751 | G LOSS = 0.0017 | AVG R =0.4940 | mean_pen: 0.0001 |  
iteration 3950 | D LOSS = 1.3749 | G LOSS = 0.0008 | AVG R =0.4941 | mean_pen: 0.0001 |  
iteration 4000 | D LOSS = 1.3746 | G LOSS = -0.0031 | AVG R =0.4934 | mean_pen: 0.0001 |  
iteration 4050 | D LOSS = 1.3740 | G LOSS = -0.0071 | AVG R =0.4936 | mean_pen: 0.0001 |  
iteration 4100 | D LOSS = 1.3745 | G LOSS = -0.0059 | AVG R =0.4948 | mean_pen: 0.0001 |  
iteration 4150 | D LOSS = 1.3750 | G LOSS = -0.0063 | AVG R =0.4945 | mean_pen: 0.0001 |  
iteration 4200 | D LOSS = 1.3742 | G LOSS = -0.0109 | AVG R =0.4946 | mean_pen: 0.0001 |  
iteration 4250 | D LOSS = 1.3756 | G LOSS = -0.0071 | AVG R =0.4946 | mean_pen: 0.0001 |  
iteration 4300 | D LOSS = 1.3762 | G LOSS = -0.0141 | AVG R =0.4953 | mean_pen: 0.0001 |  
iteration 4350 | D LOSS = 1.3762 | G LOSS = -0.0131 | AVG R =0.4943 | mean_pen: 0.0001 |  
iteration 4400 | D LOSS = 1.3751 | G LOSS = -0.0058 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 4450 | D LOSS = 1.3767 | G LOSS = 0.0028 | AVG R =0.4946 | mean_pen: 0.0001 |  
iteration 4500 | D LOSS = 1.3764 | G LOSS = -0.0059 | AVG R =0.4948 | mean_pen: 0.0001 |  
iteration 4550 | D LOSS = 1.3770 | G LOSS = -0.0026 | AVG R =0.4946 | mean_pen: 0.0001 |  
iteration 4600 | D LOSS = 1.3759 | G LOSS = -0.0015 | AVG R =0.4944 | mean_pen: 0.0001 |  
iteration 4650 | D LOSS = 1.3772 | G LOSS = -0.0075 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 4700 | D LOSS = 1.3773 | G LOSS = -0.0061 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 4750 | D LOSS = 1.3779 | G LOSS = 0.0006 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 4800 | D LOSS = 1.3770 | G LOSS = -0.0038 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 4850 | D LOSS = 1.3782 | G LOSS = -0.0010 | AVG R =0.4960 | mean_pen: 0.0001 |  
iteration 4900 | D LOSS = 1.3776 | G LOSS = 0.0003 | AVG R =0.4965 | mean_pen: 0.0000 |  
iteration 4950 | D LOSS = 1.3773 | G LOSS = 0.0112 | AVG R =0.4960 | mean_pen: 0.0001 |  
iteration 5000 | D LOSS = 1.3785 | G LOSS = -0.0018 | AVG R =0.4957 | mean_pen: 0.0001 |  
iteration 5050 | D LOSS = 1.3789 | G LOSS = -0.0059 | AVG R =0.4959 | mean_pen: 0.0001 |  
iteration 5100 | D LOSS = 1.3783 | G LOSS = 0.0034 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 5150 | D LOSS = 1.3781 | G LOSS = 0.0057 | AVG R =0.4954 | mean_pen: 0.0001 |  
iteration 5200 | D LOSS = 1.3775 | G LOSS = 0.0052 | AVG R =0.4958 | mean_pen: 0.0001 |  
iteration 5250 | D LOSS = 1.3786 | G LOSS = 0.0014 | AVG R =0.4961 | mean_pen: 0.0000 |  
iteration 5300 | D LOSS = 1.3790 | G LOSS = 0.0031 | AVG R =0.4963 | mean_pen: 0.0000 |  
iteration 5350 | D LOSS = 1.3783 | G LOSS = 0.0068 | AVG R =0.4960 | mean_pen: 0.0001 |  
iteration 5400 | D LOSS = 1.3776 | G LOSS = 0.0097 | AVG R =0.4966 | mean_pen: 0.0001 |  
