α=1.00%, θ*=0.85, TPR=0.0037, FPR=0.0023, PPV=0.6158, Advantage=0.0014
α=2.00%, θ*=1.05, TPR=0.0415, FPR=0.0183, PPV=0.6943, Advantage=0.0232
α=3.00%, θ*=1.05, TPR=0.0415, FPR=0.0183, PPV=0.6943, Advantage=0.0232
α=4.00%, θ*=1.10, TPR=0.0537, FPR=0.0342, PPV=0.6105, Advantage=0.0194
α=5.00%, θ*=1.20, TPR=0.0890, FPR=0.0457, PPV=0.6610, Advantage=0.0434
α=6.00%, θ*=1.20, TPR=0.0890, FPR=0.0457, PPV=0.6610, Advantage=0.0434
α=7.00%, θ*=1.25, TPR=0.1044, FPR=0.0639, PPV=0.6203, Advantage=0.0405
α=8.00%, θ*=1.25, TPR=0.1044, FPR=0.0639, PPV=0.6203, Advantage=0.0405
α=9.00%, θ*=1.30, TPR=0.1215, FPR=0.0845, PPV=0.5899, Advantage=0.0370
α=10.00%, θ*=1.30, TPR=0.1215, FPR=0.0845, PPV=0.5899, Advantage=0.0370
α=11.00%, θ*=1.35, TPR=0.1449, FPR=0.1073, PPV=0.5746, Advantage=0.0376
α=12.00%, θ*=1.35, TPR=0.1449, FPR=0.1073, PPV=0.5746, Advantage=0.0376
α=13.00%, θ*=1.35, TPR=0.1449, FPR=0.1073, PPV=0.5746, Advantage=0.0376
α=14.00%, θ*=1.35, TPR=0.1449, FPR=0.1073, PPV=0.5746, Advantage=0.0376
α=15.00%, θ*=1.35, TPR=0.1449, FPR=0.1073, PPV=0.5746, Advantage=0.0376
α=16.00%, θ*=1.40, TPR=0.1708, FPR=0.1507, PPV=0.5312, Advantage=0.0201
α=17.00%, θ*=1.40, TPR=0.1708, FPR=0.1507, PPV=0.5312, Advantage=0.0201
α=18.00%, θ*=1.45, TPR=0.2059, FPR=0.1781, PPV=0.5362, Advantage=0.0278
α=19.00%, θ*=1.45, TPR=0.2059, FPR=0.1781, PPV=0.5362, Advantage=0.0278
α=20.00%, θ*=1.50, TPR=0.2554, FPR=0.1918, PPV=0.5712, Advantage=0.0636
α=21.00%, θ*=1.50, TPR=0.2554, FPR=0.1918, PPV=0.5712, Advantage=0.0636
α=22.00%, θ*=1.50, TPR=0.2554, FPR=0.1918, PPV=0.5712, Advantage=0.0636
α=23.00%, θ*=1.55, TPR=0.2896, FPR=0.2283, PPV=0.5592, Advantage=0.0613
α=24.00%, θ*=1.55, TPR=0.2896, FPR=0.2283, PPV=0.5592, Advantage=0.0613
α=25.00%, θ*=1.55, TPR=0.2896, FPR=0.2283, PPV=0.5592, Advantage=0.0613
α=26.00%, θ*=1.60, TPR=0.3235, FPR=0.2580, PPV=0.5563, Advantage=0.0655
α=27.00%, θ*=1.60, TPR=0.3235, FPR=0.2580, PPV=0.5563, Advantage=0.0655
α=28.00%, θ*=1.60, TPR=0.3235, FPR=0.2580, PPV=0.5563, Advantage=0.0655
α=29.00%, θ*=1.65, TPR=0.3528, FPR=0.2831, PPV=0.5548, Advantage=0.0697
α=30.00%, θ*=1.65, TPR=0.3528, FPR=0.2831, PPV=0.5548, Advantage=0.0697
α=31.00%, θ*=1.65, TPR=0.3528, FPR=0.2831, PPV=0.5548, Advantage=0.0697
α=32.00%, θ*=1.70, TPR=0.3994, FPR=0.3105, PPV=0.5626, Advantage=0.0889
α=33.00%, θ*=1.70, TPR=0.3994, FPR=0.3105, PPV=0.5626, Advantage=0.0889
α=34.00%, θ*=1.70, TPR=0.3994, FPR=0.3105, PPV=0.5626, Advantage=0.0889
α=35.00%, θ*=1.70, TPR=0.3994, FPR=0.3105, PPV=0.5626, Advantage=0.0889
α=36.00%, θ*=1.70, TPR=0.3994, FPR=0.3105, PPV=0.5626, Advantage=0.0889
α=37.00%, θ*=1.75, TPR=0.4352, FPR=0.3607, PPV=0.5468, Advantage=0.0745
α=38.00%, θ*=1.75, TPR=0.4352, FPR=0.3607, PPV=0.5468, Advantage=0.0745
α=39.00%, θ*=1.75, TPR=0.4352, FPR=0.3607, PPV=0.5468, Advantage=0.0745
α=40.00%, θ*=1.75, TPR=0.4352, FPR=0.3607, PPV=0.5468, Advantage=0.0745
α=41.00%, θ*=1.80, TPR=0.4801, FPR=0.4087, PPV=0.5402, Advantage=0.0714
α=42.00%, θ*=1.80, TPR=0.4801, FPR=0.4087, PPV=0.5402, Advantage=0.0714
α=43.00%, θ*=1.80, TPR=0.4801, FPR=0.4087, PPV=0.5402, Advantage=0.0714
α=44.00%, θ*=1.85, TPR=0.5243, FPR=0.4338, PPV=0.5472, Advantage=0.0905
α=45.00%, θ*=1.85, TPR=0.5243, FPR=0.4338, PPV=0.5472, Advantage=0.0905
α=46.00%, θ*=1.85, TPR=0.5243, FPR=0.4338, PPV=0.5472, Advantage=0.0905
α=47.00%, θ*=1.85, TPR=0.5243, FPR=0.4338, PPV=0.5472, Advantage=0.0905
α=48.00%, θ*=1.90, TPR=0.5614, FPR=0.4703, PPV=0.5441, Advantage=0.0910
α=49.00%, θ*=1.90, TPR=0.5614, FPR=0.4703, PPV=0.5441, Advantage=0.0910
