Logging
iteration 0 | D LOSS = 1.4239 | G LOSS = 0.6373 | mean_pen: 0.0174 |  
iteration 50 | D LOSS = 1.2650 | G LOSS = 0.8648 | mean_pen: 0.0069 |  
iteration 100 | D LOSS = 1.3741 | G LOSS = 0.6895 | mean_pen: 0.0005 |  
iteration 150 | D LOSS = 1.3798 | G LOSS = 0.6951 | mean_pen: 0.0001 |  
iteration 200 | D LOSS = 1.3784 | G LOSS = 0.6998 | mean_pen: 0.0001 |  
iteration 250 | D LOSS = 1.3771 | G LOSS = 0.7012 | mean_pen: 0.0001 |  
iteration 300 | D LOSS = 1.3734 | G LOSS = 0.7068 | mean_pen: 0.0001 |  
iteration 350 | D LOSS = 1.3693 | G LOSS = 0.7109 | mean_pen: 0.0001 |  
iteration 400 | D LOSS = 1.3647 | G LOSS = 0.7168 | mean_pen: 0.0001 |  
iteration 450 | D LOSS = 1.3585 | G LOSS = 0.7208 | mean_pen: 0.0001 |  
iteration 500 | D LOSS = 1.3572 | G LOSS = 0.7226 | mean_pen: 0.0001 |  
iteration 550 | D LOSS = 1.3565 | G LOSS = 0.7277 | mean_pen: 0.0001 |  
iteration 600 | D LOSS = 1.3526 | G LOSS = 0.7288 | mean_pen: 0.0001 |  
iteration 650 | D LOSS = 1.3521 | G LOSS = 0.7278 | mean_pen: 0.0001 |  
iteration 700 | D LOSS = 1.3518 | G LOSS = 0.7296 | mean_pen: 0.0001 |  
iteration 750 | D LOSS = 1.3493 | G LOSS = 0.7282 | mean_pen: 0.0002 |  
iteration 800 | D LOSS = 1.3516 | G LOSS = 0.7304 | mean_pen: 0.0002 |  
iteration 850 | D LOSS = 1.3494 | G LOSS = 0.7325 | mean_pen: 0.0002 |  
iteration 900 | D LOSS = 1.3489 | G LOSS = 0.7347 | mean_pen: 0.0002 |  
iteration 950 | D LOSS = 1.3462 | G LOSS = 0.7297 | mean_pen: 0.0002 |  
iteration 1000 | D LOSS = 1.3497 | G LOSS = 0.7326 | mean_pen: 0.0002 |  
iteration 1050 | D LOSS = 1.3506 | G LOSS = 0.7326 | mean_pen: 0.0002 |  
iteration 1100 | D LOSS = 1.3458 | G LOSS = 0.7336 | mean_pen: 0.0002 |  
iteration 1150 | D LOSS = 1.3487 | G LOSS = 0.7320 | mean_pen: 0.0003 |  
iteration 1200 | D LOSS = 1.3475 | G LOSS = 0.7354 | mean_pen: 0.0003 |  
iteration 1250 | D LOSS = 1.3488 | G LOSS = 0.7363 | mean_pen: 0.0002 |  
iteration 1300 | D LOSS = 1.3495 | G LOSS = 0.7333 | mean_pen: 0.0003 |  
iteration 1350 | D LOSS = 1.3519 | G LOSS = 0.7283 | mean_pen: 0.0003 |  
iteration 1400 | D LOSS = 1.3486 | G LOSS = 0.7313 | mean_pen: 0.0003 |  
iteration 1450 | D LOSS = 1.3457 | G LOSS = 0.7299 | mean_pen: 0.0002 |  
iteration 1500 | D LOSS = 1.3524 | G LOSS = 0.7295 | mean_pen: 0.0002 |  
iteration 1550 | D LOSS = 1.3534 | G LOSS = 0.7314 | mean_pen: 0.0003 |  
iteration 1600 | D LOSS = 1.3528 | G LOSS = 0.7285 | mean_pen: 0.0003 |  
iteration 1650 | D LOSS = 1.3526 | G LOSS = 0.7305 | mean_pen: 0.0003 |  
iteration 1700 | D LOSS = 1.3547 | G LOSS = 0.7267 | mean_pen: 0.0002 |  
iteration 1750 | D LOSS = 1.3522 | G LOSS = 0.7280 | mean_pen: 0.0002 |  
iteration 1800 | D LOSS = 1.3561 | G LOSS = 0.7249 | mean_pen: 0.0002 |  
