α=1.00%, θ*=0.85, TPR=0.0039, FPR=0.0044, PPV=0.4720, Advantage=-0.0005
α=2.00%, θ*=0.90, TPR=0.0105, FPR=0.0132, PPV=0.4447, Advantage=-0.0026
α=3.00%, θ*=0.95, TPR=0.0213, FPR=0.0263, PPV=0.4475, Advantage=-0.0050
α=4.00%, θ*=1.05, TPR=0.0524, FPR=0.0329, PPV=0.6145, Advantage=0.0195
α=5.00%, θ*=1.10, TPR=0.0738, FPR=0.0461, PPV=0.6156, Advantage=0.0277
α=6.00%, θ*=1.10, TPR=0.0738, FPR=0.0461, PPV=0.6156, Advantage=0.0277
α=7.00%, θ*=1.15, TPR=0.0897, FPR=0.0614, PPV=0.5936, Advantage=0.0283
α=8.00%, θ*=1.20, TPR=0.1073, FPR=0.0768, PPV=0.5830, Advantage=0.0306
α=9.00%, θ*=1.25, TPR=0.1215, FPR=0.0833, PPV=0.5932, Advantage=0.0382
α=10.00%, θ*=1.25, TPR=0.1215, FPR=0.0833, PPV=0.5932, Advantage=0.0382
α=11.00%, θ*=1.30, TPR=0.1448, FPR=0.1075, PPV=0.5740, Advantage=0.0374
α=12.00%, θ*=1.30, TPR=0.1448, FPR=0.1075, PPV=0.5740, Advantage=0.0374
α=13.00%, θ*=1.35, TPR=0.1762, FPR=0.1250, PPV=0.5850, Advantage=0.0512
α=14.00%, θ*=1.35, TPR=0.1762, FPR=0.1250, PPV=0.5850, Advantage=0.0512
α=15.00%, θ*=1.40, TPR=0.2083, FPR=0.1425, PPV=0.5937, Advantage=0.0657
α=16.00%, θ*=1.40, TPR=0.2083, FPR=0.1425, PPV=0.5937, Advantage=0.0657
α=17.00%, θ*=1.40, TPR=0.2083, FPR=0.1425, PPV=0.5937, Advantage=0.0657
α=18.00%, θ*=1.45, TPR=0.2431, FPR=0.1732, PPV=0.5839, Advantage=0.0698
α=19.00%, θ*=1.45, TPR=0.2431, FPR=0.1732, PPV=0.5839, Advantage=0.0698
α=20.00%, θ*=1.50, TPR=0.2766, FPR=0.1996, PPV=0.5809, Advantage=0.0771
α=21.00%, θ*=1.50, TPR=0.2766, FPR=0.1996, PPV=0.5809, Advantage=0.0771
α=22.00%, θ*=1.50, TPR=0.2766, FPR=0.1996, PPV=0.5809, Advantage=0.0771
α=23.00%, θ*=1.55, TPR=0.3080, FPR=0.2259, PPV=0.5769, Advantage=0.0821
α=24.00%, θ*=1.55, TPR=0.3080, FPR=0.2259, PPV=0.5769, Advantage=0.0821
α=25.00%, θ*=1.60, TPR=0.3355, FPR=0.2412, PPV=0.5817, Advantage=0.0942
α=26.00%, θ*=1.60, TPR=0.3355, FPR=0.2412, PPV=0.5817, Advantage=0.0942
α=27.00%, θ*=1.60, TPR=0.3355, FPR=0.2412, PPV=0.5817, Advantage=0.0942
α=28.00%, θ*=1.65, TPR=0.3727, FPR=0.2763, PPV=0.5743, Advantage=0.0964
α=29.00%, θ*=1.65, TPR=0.3727, FPR=0.2763, PPV=0.5743, Advantage=0.0964
α=30.00%, θ*=1.70, TPR=0.4183, FPR=0.2939, PPV=0.5874, Advantage=0.1244
α=31.00%, θ*=1.70, TPR=0.4183, FPR=0.2939, PPV=0.5874, Advantage=0.1244
α=32.00%, θ*=1.70, TPR=0.4183, FPR=0.2939, PPV=0.5874, Advantage=0.1244
α=33.00%, θ*=1.75, TPR=0.4719, FPR=0.3246, PPV=0.5925, Advantage=0.1474
α=34.00%, θ*=1.75, TPR=0.4719, FPR=0.3246, PPV=0.5925, Advantage=0.1474
α=35.00%, θ*=1.75, TPR=0.4719, FPR=0.3246, PPV=0.5925, Advantage=0.1474
α=36.00%, θ*=1.75, TPR=0.4719, FPR=0.3246, PPV=0.5925, Advantage=0.1474
α=37.00%, θ*=1.75, TPR=0.4719, FPR=0.3246, PPV=0.5925, Advantage=0.1474
α=38.00%, θ*=1.75, TPR=0.4719, FPR=0.3246, PPV=0.5925, Advantage=0.1474
α=39.00%, θ*=1.75, TPR=0.4719, FPR=0.3246, PPV=0.5925, Advantage=0.1474
α=40.00%, θ*=1.80, TPR=0.5229, FPR=0.3904, PPV=0.5726, Advantage=0.1326
α=41.00%, θ*=1.80, TPR=0.5229, FPR=0.3904, PPV=0.5726, Advantage=0.1326
α=42.00%, θ*=1.80, TPR=0.5229, FPR=0.3904, PPV=0.5726, Advantage=0.1326
α=43.00%, θ*=1.80, TPR=0.5229, FPR=0.3904, PPV=0.5726, Advantage=0.1326
α=44.00%, θ*=1.80, TPR=0.5229, FPR=0.3904, PPV=0.5726, Advantage=0.1326
α=45.00%, θ*=1.80, TPR=0.5229, FPR=0.3904, PPV=0.5726, Advantage=0.1326
α=46.00%, θ*=1.80, TPR=0.5229, FPR=0.3904, PPV=0.5726, Advantage=0.1326
α=47.00%, θ*=1.85, TPR=0.5682, FPR=0.4649, PPV=0.5500, Advantage=0.1033
α=48.00%, θ*=1.85, TPR=0.5682, FPR=0.4649, PPV=0.5500, Advantage=0.1033
α=49.00%, θ*=1.85, TPR=0.5682, FPR=0.4649, PPV=0.5500, Advantage=0.1033
α=50.00%, θ*=1.85, TPR=0.5682, FPR=0.4649, PPV=0.5500, Advantage=0.1033
α=51.00%, θ*=1.85, TPR=0.5682, FPR=0.4649, PPV=0.5500, Advantage=0.1033
α=52.00%, θ*=1.85, TPR=0.5682, FPR=0.4649, PPV=0.5500, Advantage=0.1033
α=53.00%, θ*=1.85, TPR=0.5682, FPR=0.4649, PPV=0.5500, Advantage=0.1033
α=54.00%, θ*=1.85, TPR=0.5682, FPR=0.4649, PPV=0.5500, Advantage=0.1033
α=55.00%, θ*=1.90, TPR=0.6011, FPR=0.5461, PPV=0.5240, Advantage=0.0550
α=56.00%, θ*=1.90, TPR=0.6011, FPR=0.5461, PPV=0.5240, Advantage=0.0550
α=57.00%, θ*=1.90, TPR=0.6011, FPR=0.5461, PPV=0.5240, Advantage=0.0550
α=58.00%, θ*=1.90, TPR=0.6011, FPR=0.5461, PPV=0.5240, Advantage=0.0550
α=59.00%, θ*=1.95, TPR=0.6246, FPR=0.5855, PPV=0.5161, Advantage=0.0391
α=60.00%, θ*=1.95, TPR=0.6246, FPR=0.5855, PPV=0.5161, Advantage=0.0391
α=61.00%, θ*=1.95, TPR=0.6246, FPR=0.5855, PPV=0.5161, Advantage=0.0391
α=62.00%, θ*=1.95, TPR=0.6246, FPR=0.5855, PPV=0.5161, Advantage=0.0391
α=63.00%, θ*=1.95, TPR=0.6246, FPR=0.5855, PPV=0.5161, Advantage=0.0391
α=64.00%, θ*=1.95, TPR=0.6246, FPR=0.5855, PPV=0.5161, Advantage=0.0391
α=65.00%, θ*=2.00, TPR=0.6594, FPR=0.6469, PPV=0.5048, Advantage=0.0125
α=66.00%, θ*=2.00, TPR=0.6594, FPR=0.6469, PPV=0.5048, Advantage=0.0125
α=67.00%, θ*=2.00, TPR=0.6594, FPR=0.6469, PPV=0.5048, Advantage=0.0125
α=68.00%, θ*=2.00, TPR=0.6594, FPR=0.6469, PPV=0.5048, Advantage=0.0125
α=69.00%, θ*=2.00, TPR=0.6594, FPR=0.6469, PPV=0.5048, Advantage=0.0125
α=70.00%, θ*=2.05, TPR=0.6996, FPR=0.6908, PPV=0.5032, Advantage=0.0088
α=71.00%, θ*=2.05, TPR=0.6996, FPR=0.6908, PPV=0.5032, Advantage=0.0088
α=72.00%, θ*=2.05, TPR=0.6996, FPR=0.6908, PPV=0.5032, Advantage=0.0088
α=73.00%, θ*=2.05, TPR=0.6996, FPR=0.6908, PPV=0.5032, Advantage=0.0088
α=74.00%, θ*=2.10, TPR=0.7334, FPR=0.7368, PPV=0.4988, Advantage=-0.0034
α=75.00%, θ*=2.10, TPR=0.7334, FPR=0.7368, PPV=0.4988, Advantage=-0.0034
α=76.00%, θ*=2.10, TPR=0.7334, FPR=0.7368, PPV=0.4988, Advantage=-0.0034
α=77.00%, θ*=2.10, TPR=0.7334, FPR=0.7368, PPV=0.4988, Advantage=-0.0034
α=78.00%, θ*=2.15, TPR=0.7621, FPR=0.7741, PPV=0.4961, Advantage=-0.0121
α=79.00%, θ*=2.15, TPR=0.7621, FPR=0.7741, PPV=0.4961, Advantage=-0.0121
α=80.00%, θ*=2.15, TPR=0.7621, FPR=0.7741, PPV=0.4961, Advantage=-0.0121
α=81.00%, θ*=2.15, TPR=0.7621, FPR=0.7741, PPV=0.4961, Advantage=-0.0121
α=82.00%, θ*=2.20, TPR=0.7920, FPR=0.8114, PPV=0.4939, Advantage=-0.0194
α=83.00%, θ*=2.25, TPR=0.8255, FPR=0.8289, PPV=0.4990, Advantage=-0.0034
α=84.00%, θ*=2.30, TPR=0.8542, FPR=0.8355, PPV=0.5055, Advantage=0.0187
α=85.00%, θ*=2.30, TPR=0.8542, FPR=0.8355, PPV=0.5055, Advantage=0.0187
α=86.00%, θ*=2.30, TPR=0.8542, FPR=0.8355, PPV=0.5055, Advantage=0.0187
α=87.00%, θ*=2.30, TPR=0.8542, FPR=0.8355, PPV=0.5055, Advantage=0.0187
α=88.00%, θ*=2.30, TPR=0.8542, FPR=0.8355, PPV=0.5055, Advantage=0.0187
α=89.00%, θ*=2.35, TPR=0.8733, FPR=0.8882, PPV=0.4958, Advantage=-0.0148
α=90.00%, θ*=2.35, TPR=0.8733, FPR=0.8882, PPV=0.4958, Advantage=-0.0148
α=91.00%, θ*=2.35, TPR=0.8733, FPR=0.8882, PPV=0.4958, Advantage=-0.0148
α=92.00%, θ*=2.35, TPR=0.8733, FPR=0.8882, PPV=0.4958, Advantage=-0.0148
α=93.00%, θ*=2.40, TPR=0.8944, FPR=0.9211, PPV=0.4927, Advantage=-0.0267
α=94.00%, θ*=2.45, TPR=0.9186, FPR=0.9386, PPV=0.4946, Advantage=-0.0199
α=95.00%, θ*=2.45, TPR=0.9186, FPR=0.9386, PPV=0.4946, Advantage=-0.0199
α=96.00%, θ*=2.50, TPR=0.9338, FPR=0.9561, PPV=0.4941, Advantage=-0.0223
α=97.00%, θ*=2.75, TPR=0.9779, FPR=0.9693, PPV=0.5022, Advantage=0.0086
α=98.00%, θ*=2.75, TPR=0.9779, FPR=0.9693, PPV=0.5022, Advantage=0.0086
α=99.00%, θ*=2.80, TPR=0.9826, FPR=0.9803, PPV=0.5006, Advantage=0.0023
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
