,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.15296087705322223,0.020242677343285664,0.7080114072915974,0.10609564102700249,0.5385210699056465,0.7922386869310223,0.4803351409887873,-0.1842201448864789,0.10143567830561351,-0.07671880415764325,0.007134261717988125,0.12118569697303441,0.07954829427506618,0.4066871124779806,-0.467713128749947,-0.1796761714933382,0.09422856039878437,-0.049448560522436395,-0.031500166429537645,0.1130194968854322,-0.06800657205215191,-0.038530574859067995,-0.1255048696150349,0.0877823478276875,0.11663868796925593,0.00954975375392972,0.006996823995737968,0.007949574998882233,-0.019123335025926527,0.10350056719034886,0.10707488602665215,-0.06463692867893342,0.17562536634610043,0.07687771898930759,-0.08311188472752216,0.04117295584912547,-0.03604412978398622,0.04405429695764487,0.13039278803310722,0.08246027597386686,0.05217577535702983,0.09829327400395872,-0.007501531478275168,0.07106572019302305,0.03950153748324656,-0.058582351041735044,0.036087289824875766,-0.0031844087540779118,-0.09111791714373549,-0.013610894722925166,0.007922406384040912,0.18709122636543157,0.08012601024188423,0.015157391018106241,-0.0038585327677237275,0.0070325809777142334,0.1019781679786523,0.042674199834230896,-0.02499016862647876,0.05211997478891827,0.003951068060782175,0.0029162509286273543,-0.07704675489872016,0.655841372080836,-0.019491289467512073,-0.28845682019824376,-0.5226558953640941,0.12442377324063475,0.09160938667840116,0.1619514234336443,0.06324128361810515,-0.0752770030624006,0.0018338825390419988,-0.18176621652382946,-0.10125094241048481,-0.028655061211709795,0.001174957536870679,0.021574147534518927,0.08908885727902131,0.028544182728203322,0.05890674890913636,-0.042950502676331256,-0.13884638818347406,-0.04804966298933188,0.059033198862753156,0.04552952582480881,0.01806939464259686,0.01880853558856616,-0.0004351795688477576,0.015712503908193825,0.17833007166020828,0.012397423601871604,-0.1651425585970445,-0.022588718597630023,0.01385599924482439,0.009236749777058597,-0.009521113782476848,0.15023867664730406,0.058978108026220846,-0.19798923751359,0.04212939053920705,0.09164473774029473,0.11840883368681399,-0.17991432566167184,0.022967327703067923,0.05025979306432564,0.05899513199238143
blood_glucose_mean,0.15296087705322223,1.0,0.16905305149694955,0.117468376409274,0.29533649386196364,0.010264414402055732,0.20051118559167022,0.008836340202828252,0.005328190120215828,0.06920778240946472,-0.0847809592146223,0.11431730523079467,0.09091273224413718,0.03683365809610936,-0.029549939499488583,-0.011705076317018899,-0.20473351778631033,0.05941311895594264,-0.007905535092969644,-0.20138131040335788,0.08945612031273369,0.23140751984202823,0.029776814425405085,0.017545838160737365,0.18880361736701823,0.11593972004122252,-0.10661816959124314,-0.118129906916981,0.03308183704139233,0.2653044262890156,0.1329976823821908,0.2142427321443262,-0.22290112556845879,0.11404002672117364,-0.17881218005786878,0.010806870129527297,0.005788047255906744,-0.09980389380081452,-0.22631854945825874,0.03396069020243912,0.09224637455628375,0.07469565957645163,0.07263230991484686,0.1901195851476643,0.10192935053752938,0.04301198116189628,0.1006249704160954,0.034566662477933004,0.05689114997355659,-0.21790754178546876,0.021923297844914667,0.08374268712163678,0.05153397086356563,0.052401551678705374,0.06457830361660355,0.05598414516771749,-0.1574936258283749,-0.07097448547675624,-0.1134060165012466,-0.027141203209082216,-0.0694264712614797,-0.14692644449997633,-0.09710630716551474,-0.06068944523749165,0.18817226336909673,-0.0031164377509203737,-0.012334730935546883,-0.13445880824741777,0.02395131669237838,-0.012884082011873249,-0.010095764126650603,0.04153304390062494,0.0592048769107593,0.1224226046580416,0.026834159372703184,0.13915159287484744,0.004797682508384664,0.08404641518937918,0.14490600148878027,0.04514504169899651,-0.0548368061547564,0.03410793714894212,-0.008577612275014483,0.10019378895772481,0.1157685672378599,0.14123504881280413,0.1900155848278277,0.1715411827049969,0.006813573513356512,0.09824898228157426,0.018297443186346494,0.1324751507303812,0.01102167121712533,0.03862354822825229,-0.0024775751807363084,0.00682803905849348,0.04464407505349023,0.13298962120344443,0.2643106544588967,0.11062119944445495,-0.11732748350354401,0.04876224817526646,0.08401277524546782,0.04417722973958707,-0.14653638001080532,-0.08825639564116475,-0.03393714609439606,-0.07756741391164017
resp_rate_mean,0.020242677343285664,0.16905305149694955,1.0,0.03444602122723979,0.1434162256061448,-0.016199342112853045,0.07537497753781539,0.004598107291813953,-0.014425538754307486,0.0107501200651578,-0.03630269154956893,0.06353032368702319,0.036847302925865286,-0.008947933835043024,-0.07838279116234628,0.031214447385089165,-0.033647861689874624,0.056420981474724734,0.09864238181298161,-0.12135742288785584,0.058373848330533634,0.14612668092203193,0.030814580729495514,0.026499540694939712,0.13717071441384462,0.0381823628394773,-0.05305267130680539,-0.06805518171461516,-0.0358150006437022,0.13889325381294468,-8.108594414891714e-05,0.1163567699356781,-0.12924621481121643,0.03227579838686825,-0.17868817318016172,0.04954728385616021,-0.05432953846704056,-0.044088994762513496,-0.22716100526668742,-0.009936806369381346,0.02178881159918329,0.037866623691829054,0.01920486674373098,0.0805518747218983,-0.021884284753135638,0.027603953339670088,-0.009704703507192781,0.007481887000030631,0.03395287081562673,-0.05379409059210473,-0.002946426410125575,-0.013987245481431102,0.01993469209930291,0.033815134672453215,-0.030723922135060314,-0.004467711687796725,-0.08796432439797142,-0.025567336135759882,-0.037729240940391165,0.0014629826720086577,-0.06297416192696688,-0.0381950950802154,0.041719549306620314,-0.009016742315031828,0.03608299815706445,0.034109999994149674,0.05896421570997349,0.034195128103290624,0.06720632655385797,-0.02874865568396813,-0.08621394623208439,-0.025240213349822214,0.053090832770656196,0.09474166853149558,0.040377326688341805,0.09426020487348716,0.02623169737877424,0.056585134611300596,0.07296600730444033,0.04670332489374004,-0.00874539729536076,0.03229759894538548,-0.017752121248522414,0.08013947469793618,0.08324943562511762,0.09861025609001946,0.1623418454255423,0.10427049547575372,0.014377954117041103,-0.006093655540953412,0.0002250970941879766,0.13816287402676267,0.010615920378113458,0.06400638302812639,0.011837038601093542,-0.0077636653741349785,0.030611253271341697,0.05329072428049138,0.16772532858755293,0.06346660551855797,0.09464775725750897,0.001362083632983195,-0.032131292670568225,-0.07617148630725913,-0.07476720434679485,-0.027138214309482208,-0.026107217676629157,-0.03166462630380029
stress_mean,0.7080114072915974,0.117468376409274,0.03444602122723979,1.0,0.0889315461657765,0.456129407507986,0.6689811043683327,0.4186323316684961,-0.18617233607244077,0.08294443867652265,-0.06909343004398069,0.01254717356453793,0.0914886090600976,0.033650484344797935,0.3326545044097442,-0.4045328687373765,-0.09779033078192238,0.06997957920135593,-0.03099935675703517,0.013570876854851074,0.07351621718738688,-0.03467690292007996,0.0032688630491512845,-0.0956235969808329,0.07499481310398426,0.09451435346414316,0.04094145485428915,0.02802630029430802,-0.0260555458636687,-0.013482799450393209,0.014455729881165013,0.08586905024242696,-0.0458186587370266,0.1302846415173923,0.0532428826355284,-0.03973575706930766,0.005222324821666338,-0.021493766005038335,0.03196082535993418,0.11604587490915858,0.09349265429711173,0.013998158641798403,0.08156041419457553,-0.010578497752790149,0.03938484663979657,0.022581499339888962,-0.07639704443563855,0.030516375281998853,0.0355425036419633,-0.0562012840721287,-0.0382924162802183,-0.01752752802250921,0.1634422828091358,0.0499029395640437,0.008684893460666586,-0.012732125539057665,-0.007011764644371549,0.09352647131343615,0.05656339234551945,-0.013685902965607889,0.05389006174006727,0.002428169720729181,0.007605005750890827,-0.07578994170190595,0.5665043480369787,-0.018594076232458307,-0.22237842478208894,-0.43189625998511133,0.12207062417485101,0.08203365001908536,0.10276363589573266,0.04608292990879251,-0.03575487876694323,0.04113300773584721,-0.10732685740955637,-0.033910238150392534,0.007646911866578195,0.02939504634240604,0.008313312732096834,0.09937216624020681,0.01805398339119634,0.09327812271908491,-0.05079518430926458,-0.1035124277221952,-0.019867974242399757,0.0716469200449204,0.04470775712664286,0.01861995748500242,0.048167699986395925,0.015683738627118683,0.006893051412658503,0.16367416001533086,0.05267246171584217,-0.12325929220420286,0.01337220550348469,0.02123763431307719,0.018425663470262376,0.02152060336863381,0.13476831907309048,0.07734388817573265,-0.11315412149813166,0.027678967637466686,0.060496025658892054,0.06046879894015283,-0.142466738713839,0.05093445568633781,0.04102721672899488,0.04459936478876831
blood_glucose_std,0.10609564102700249,0.29533649386196364,0.1434162256061448,0.0889315461657765,1.0,0.0073550691118323425,0.14872589078428886,0.008732006047436947,-0.03188256483812081,0.05974705132885913,-0.08480122609464098,0.06850387682557438,0.11187838874814136,0.0519141594205103,-0.0360848777728619,-0.023311788504673137,-0.16591923432581288,0.06767704069171102,0.03028171211834861,-0.18763278515463702,0.05992193285686741,0.2291654591751962,0.03366974755224013,0.007003385330297211,0.18435895114241765,0.0901206999739588,-0.08117149930057486,-0.08870328967407326,0.039784133922386535,0.25010206031080595,0.04845852040940035,0.1918887411824382,-0.19339531945385008,0.11104771216436317,-0.21190631270990654,0.03814122470439891,-0.06970356505269232,-0.037238826859616075,-0.26013686760859883,0.03759952723568867,0.08778590652553551,0.060223592694798427,0.05279351556674432,0.18106188888605856,0.062222207129837344,0.019259034445285633,0.0559361562739468,0.02085914832254267,0.05512764192331157,-0.18802814283999622,0.007958126830375124,0.015113284692094733,0.041552472369384655,0.03863135940155958,0.015803145474574405,0.06762385758485868,-0.15803649683894885,-0.059215370370858916,-0.0840411650060146,-0.037723118595685924,-0.0845594923308075,-0.117345604453383,-0.04736797112012626,-0.03371509199892474,0.13554644917294023,0.0035483932863290073,0.02537738773515835,-0.07265039297805041,0.06620004046934733,-0.005154568698109945,-0.04360101829403499,0.0011242646641621563,0.06734119436954088,0.12223614052840137,0.03462460061650925,0.11555980227645951,0.009482940882474554,0.08546650056064752,0.12971739048598285,0.030516556607789305,-0.020989567819088947,0.017102568281972184,-0.025677186131326,0.0704017652061399,0.0896241879154944,0.13489296670729561,0.1963893914281701,0.1753087643688911,0.00347287652891109,0.051544316171127716,0.03369054377850933,0.1563739814158942,-0.02825528763654633,0.04464122799338003,0.008562612062451227,0.004201385864121366,0.027911362272365677,0.15147378295225974,0.26278649527493153,0.07241354982998742,-0.04508839545914686,0.02828124779746736,-0.02031257615591473,0.06673183659589059,-0.1565971344648273,-0.08795460443465525,-0.05468984103011659,-0.04973077557021325
total_steps,0.5385210699056465,0.010264414402055732,-0.016199342112853045,0.456129407507986,0.0073550691118323425,1.0,0.43903636145965885,0.45317985756461776,-0.11517463471178335,0.06303312559576242,-0.0032863527942160065,-0.04152491501571198,0.11692035690350112,0.09859776424974644,0.46391082493496644,-0.517999601997487,-0.0378317924314638,0.09991773364291452,0.021741884007665028,0.03151547507601823,0.05856190063597777,-0.0605205183133448,0.005277867625122261,-0.09410071718142646,0.06295172019414015,0.08147075844740884,0.024681855121250238,0.03714886285685782,0.08163558178080604,-0.05575962491164148,-0.058303511902215936,0.05197983617801324,0.04116103338342108,0.1275791632615148,0.0893272472476758,-0.03461864101892634,-0.05163868982615458,0.07855912736467376,0.10137760490010625,0.11304680663370403,0.08374341812353711,0.025144800988630454,0.08197826376285611,0.04295976767924383,0.0828324424793214,0.07124585166184937,-0.012036462620652022,0.05965537079751589,0.03268290147010229,-0.1021396567028199,0.03364276174693272,0.06423290121220832,0.16448707859717476,0.07219950304837741,0.04097931748554954,0.05215907551296084,-0.057214506736290575,0.01033445944851696,-0.0021160594392185916,-0.08134389666479415,0.019923663253240874,-0.014244907463685352,-0.05834753263818449,-0.10127133383117226,0.37307746111607126,-0.027629647653687254,-0.18149767798101027,-0.2630932858711516,0.08255252399523447,0.07092542596560228,0.15827455050387176,0.06610013742605171,-0.07640202601851535,-0.09289222527031304,-0.1336541071747254,-0.1390159913751026,-0.05880675301020785,-0.01872646197219202,-0.01265006277895251,0.003119979097670542,0.02451211385740548,-0.017462118753916782,0.00442774070812578,-0.09883921158446062,-0.08417992798153541,-0.011428520005960214,-0.028470694203161458,-0.07041667004049047,-0.015191429763834934,-0.019043579758967897,0.005425943549999615,0.03283353295433541,-0.013082016650479847,-0.12133416016565923,-0.03224046179015931,0.023980353970468597,0.009387838052007219,-0.06505761042977104,0.0001247310602969844,-0.010740282319768698,-0.0910106920101508,0.020277447593320605,0.02545979236336114,0.07805689700670071,-0.08450559188660689,0.0334424319839233,0.03047536567732186,0.005218931087591608
resting_heart_rate,0.7922386869310223,0.20051118559167022,0.07537497753781539,0.6689811043683327,0.14872589078428886,0.43903636145965885,1.0,0.41775521948841815,-0.16839038209786886,0.09781932308873387,-0.09169922391475337,0.07712602946289707,0.11174530518276712,0.07129385170904046,0.30068203567380114,-0.35498767084102545,-0.23151540143423843,0.04646417420228468,-0.07348502750547665,-0.0788684983871386,0.13620398215687057,-0.012434692558482034,-0.017790131569143604,-0.14170461663587985,0.11285650991539169,0.1377305504854234,0.015502386045856081,-0.01998040612969635,-0.002589169636827863,0.06597554663596374,0.16111221686369745,0.10818678021219136,-0.10186039039182997,0.18446327680988164,0.04938675726547518,-0.06604356222611894,0.06850334485294138,-0.07919916055887971,4.216357516944716e-05,0.11702982537859183,0.09007182209842818,0.07687982760166398,0.09726061907715075,0.02352090526492284,0.08372143182277451,0.024354759388398824,-0.04544391208026058,0.036396586157574455,0.013922748285614562,-0.1164226079158181,-0.022133068951374915,0.005562947554640869,0.16395997924503342,0.08147711741433242,0.030406050779894802,-0.0059418697493100695,-0.015813987830189186,0.08808959449604024,0.04208996283703472,-0.021450868251076703,0.04378424810799646,-0.023930828317512254,0.0038141851658641587,-0.08255458563622407,0.6684954158552142,-0.029512028913598557,-0.25963642390505437,-0.49792195647896415,0.1656955991670849,0.09129057940736482,0.11640487360563416,0.05314561557673409,-0.02891593953759526,0.08369661884207966,-0.1356360637129983,-0.03544006563563975,0.021693914337016115,0.05367381778218052,0.04889382556285517,0.12187772832017714,0.01606638172629089,0.09920294009372778,-0.04233397038465078,-0.0915537923689295,-0.0009384082204245313,0.09834724689099433,0.09783404487982189,0.06796297562690183,0.047153662415030086,0.03417819006081911,0.008688989658553284,0.21678224894546858,0.05568877829679179,-0.1027296875834036,0.0038304392932080574,0.0167126583594176,0.024863169647692775,0.03974333481324167,0.2171040425240217,0.10191018497884467,-0.21176627211742155,0.050078771389806105,0.11526577526793912,0.10981709489789032,-0.1774057230215987,0.016636577075561144,0.03575839827291422,0.043930432526406694
total_kcal,0.4803351409887873,0.008836340202828252,0.004598107291813953,0.4186323316684961,0.008732006047436947,0.45317985756461776,0.41775521948841815,1.0,-0.13731489247588025,0.03962935591954576,-0.030039128034324843,-0.02709119609893871,0.06561936533356569,0.04752365197969046,0.3885808232415695,-0.43483935180263844,-0.055260722062332845,0.12226644694133358,0.0056062716360418055,0.003754544793129509,0.04456332105964644,-0.05858146224587701,-0.04199333685624261,-0.09030355656748808,0.06613053271208882,0.05776602891642329,0.012612923414195848,0.019831580342150802,0.04386695314383321,-0.04429305593226335,-0.025245281744824037,0.03343248960090468,-0.003432625623575941,0.10753038402896455,0.061436388006299414,-0.03168998905277589,-0.025869533216833867,0.03898157989032092,0.05473781397713942,0.10689251260765086,0.042134897760333356,0.0349772829592697,0.0683913247285473,-0.013987961481514495,0.02327818979523781,0.04821406642258374,-0.06827410687961204,0.02239185798324421,0.00501052930726831,-0.030384239996342446,0.007928343502198943,0.0005212043400094818,0.13843398726282,0.04490866915110809,-0.011366423895739358,0.0029669047360042643,-0.011355444617474867,0.05758706342759359,0.028309928022882146,-0.05771700259874812,0.052718246085918075,0.021866757364694844,-0.006219042489611143,-0.04684605138071971,0.3517033167550274,-0.008155063941321013,-0.16566378054860917,-0.24925208367914262,0.08805791331472358,0.0803620656514001,0.09819554049058689,0.033118460875865,-0.06259958405629691,-0.06351950790027527,-0.12047415389415941,-0.11710982605029505,-0.05823298556933385,-0.04417697256187605,-0.016847554375692055,0.008632384476777877,0.05432879898701177,0.0006053839996835081,-0.02132208793718095,-0.10470400442876901,-0.07575594052422469,-0.004963047283268226,-0.02214132220822414,-0.039530784188391566,-0.004109726476465797,-0.009220228608441199,0.013394501150738753,0.06905478872149864,-0.008910205303782611,-0.10436685788387974,-0.03926744583281514,-0.014188368781067127,-0.013554838247938851,-0.06065210754684901,0.03472462636403464,-0.02415367644343006,-0.0863913413798742,0.006852944689695143,0.04368405159084259,0.052788980516321415,-0.07809880325996638,0.03375941370682389,0.026405156978825055,0.03194523244386164
sleep_light_hrs,-0.1842201448864789,0.005328190120215828,-0.014425538754307486,-0.18617233607244077,-0.03188256483812081,-0.11517463471178335,-0.16839038209786886,-0.13731489247588025,1.0,0.010064225391238954,0.042172328032161616,0.004450831075183017,-0.02382169212423219,0.01892302890517037,-0.059640330162089125,0.10378277737269016,-0.023790972062860738,-0.031126233185319242,-0.002949209712151125,0.02647070548680243,-0.03724286925225275,0.007636709117549287,0.025448673555445965,0.085109386081663,-0.02467739101629526,-0.007517656925715255,-0.0016729445193086354,0.01858214283031861,0.01926988324696318,0.03462329093804194,0.07491848337174067,0.01416141670697397,0.0704445006566733,-0.020581236914400464,0.06717623303159878,0.028296682007755952,0.07384852915171966,-0.008617315933899607,0.08005295064968583,-0.002072399759004663,0.019105001446198092,0.0076484431731666065,0.04531442437260151,0.02305591002505605,0.011564872722500069,0.031209737607124737,0.08979450636726127,0.0008639691074474678,0.0054145664235756286,-0.021814925739082783,0.06620932954537995,0.04149464664431259,-0.04947599014995435,0.0011574080271550696,0.03831354872458917,0.026512263124458087,0.018152742562354874,-0.04390183159530114,-0.017571905540236733,0.009140692407758609,-0.0011318313095084525,-0.030330273926422898,-0.04846940366343482,0.03313153494568981,-0.12106892581775484,-0.033046974016449474,0.03200995319830487,0.07789034073436374,-0.07760695337894277,-0.013166145757087792,0.005866002534421658,0.029312966049220263,0.0027414450501995528,-0.039273035606171416,0.030439788549784363,0.017053924323592626,-0.01608563484618845,-0.007894068250611648,-0.019923981342637048,-0.014718603713526282,0.0017125286650284848,-0.04230695248454414,0.015028886123377494,0.03213813844025853,-0.006350211791518963,-0.03926660557192497,-0.07085396180657859,-0.02144419062352282,0.0184600246413697,-0.012177094890998523,-0.002281466497222632,-0.06912022107342784,-0.004124629259310429,0.03738236546183718,0.010704648272057105,0.01937410494649164,0.014910269114443486,0.0022430995460146607,-0.05904727469929063,-0.013366203049317611,-0.05564817661534707,0.009164467215758433,0.0362391381850072,0.015117806650846615,0.0623171440460433,-0.0231779383419413,-0.02491257801933147,-0.026795419625280533
sleep_deep_hrs,0.10143567830561351,0.06920778240946472,0.0107501200651578,0.08294443867652265,0.05974705132885913,0.06303312559576242,0.09781932308873387,0.03962935591954576,0.010064225391238954,1.0,-0.02859058280692433,0.041156708146427454,0.009497472299999471,-0.004008680986035029,0.03860682238993426,-0.01603776643261034,-0.06614756573535507,0.01078354684002082,-0.02767921110128234,-0.041763030270339896,0.031159316768001117,0.010783350219530509,-0.02909682654612165,-0.0238929790578174,0.03560118452143152,0.030009532465418636,-0.021086333076204195,-0.049354116243535605,0.048414616153588316,0.06312860381940548,0.054000145624729795,0.039153824372623686,-0.045431157971963114,0.07029093303997823,0.02516419223832513,-6.557642126221973e-05,0.012421456053211368,0.0005727513140572661,0.011283795828917663,0.04556855414904268,0.004083146520416396,0.03099959459205715,0.060452333888175655,0.010620147056532095,0.0007641173139041188,-0.013946184538964568,-0.026683089511334294,0.02346626149102483,0.014482560336722131,-0.023100948781755,0.03705023390925621,-0.009113908210814344,0.018936082879845578,0.00029699714163245535,-0.00906379842610826,-0.0020259854897461643,0.011859773686086495,0.027887347995963808,0.009024152787662082,0.01840087120820396,-0.007305520414432313,-0.0052673925418068295,0.009803013402506718,0.019719678177808585,0.09865216729278944,-0.015245952591350578,-0.03593819840366823,-0.0993361418217795,-0.032268593574376093,0.025277131841697796,0.016288887482251314,0.0026871285900447565,-0.02576935930361763,0.029022707713474996,0.0016387240444885596,0.03890301365370732,0.02299593231379524,0.041825941790789335,0.03205151514622924,0.06475132191199455,-0.01477079903051799,0.006552628231870055,-0.003374230454960761,0.009086777880351034,0.004291301985814106,0.028579282563434807,0.013824588439185336,0.03028328291643372,0.017100939833091716,0.008432187344492534,0.00902496889011738,0.05071755769734818,0.005882733611912611,-0.032905175375344826,0.007676821446189956,-0.01257462789163845,0.008245573986911866,0.0437061783596347,0.057813449069229264,0.0583951890719775,-0.06393189010407539,0.006641695347019527,0.05707981481819961,0.0214358443874499,-0.05984675435400754,0.003873252423777564,0.010903965470773089,0.011470582126884453
