α=1.00%, θ*=0.95, TPR=0.0107, FPR=0.0069, PPV=0.6087, Advantage=0.0038
α=2.00%, θ*=0.95, TPR=0.0107, FPR=0.0069, PPV=0.6087, Advantage=0.0038
α=3.00%, θ*=1.00, TPR=0.0173, FPR=0.0207, PPV=0.4555, Advantage=-0.0034
α=4.00%, θ*=1.05, TPR=0.0266, FPR=0.0368, PPV=0.4194, Advantage=-0.0102
α=5.00%, θ*=1.10, TPR=0.0353, FPR=0.0483, PPV=0.4227, Advantage=-0.0129
α=6.00%, θ*=1.10, TPR=0.0353, FPR=0.0483, PPV=0.4227, Advantage=-0.0129
α=7.00%, θ*=1.15, TPR=0.0480, FPR=0.0667, PPV=0.4187, Advantage=-0.0186
α=8.00%, θ*=1.15, TPR=0.0480, FPR=0.0667, PPV=0.4187, Advantage=-0.0186
α=9.00%, θ*=1.20, TPR=0.0622, FPR=0.0805, PPV=0.4359, Advantage=-0.0183
α=10.00%, θ*=1.25, TPR=0.0758, FPR=0.0966, PPV=0.4399, Advantage=-0.0207
α=11.00%, θ*=1.25, TPR=0.0758, FPR=0.0966, PPV=0.4399, Advantage=-0.0207
α=12.00%, θ*=1.30, TPR=0.0919, FPR=0.1103, PPV=0.4544, Advantage=-0.0184
α=13.00%, θ*=1.30, TPR=0.0919, FPR=0.1103, PPV=0.4544, Advantage=-0.0184
α=14.00%, θ*=1.30, TPR=0.0919, FPR=0.1103, PPV=0.4544, Advantage=-0.0184
α=15.00%, θ*=1.35, TPR=0.1080, FPR=0.1494, PPV=0.4195, Advantage=-0.0414
α=16.00%, θ*=1.35, TPR=0.1080, FPR=0.1494, PPV=0.4195, Advantage=-0.0414
α=17.00%, θ*=1.35, TPR=0.1080, FPR=0.1494, PPV=0.4195, Advantage=-0.0414
α=18.00%, θ*=1.35, TPR=0.1080, FPR=0.1494, PPV=0.4195, Advantage=-0.0414
α=19.00%, θ*=1.40, TPR=0.1353, FPR=0.1839, PPV=0.4239, Advantage=-0.0486
α=20.00%, θ*=1.40, TPR=0.1353, FPR=0.1839, PPV=0.4239, Advantage=-0.0486
α=21.00%, θ*=1.40, TPR=0.1353, FPR=0.1839, PPV=0.4239, Advantage=-0.0486
