Logging
iteration 0 | D LOSS = 1.3813 | G LOSS = 0.0204 | AVG R =0.5006 | mean_pen: 0.0175 |  
iteration 50 | D LOSS = 1.1657 | G LOSS = -0.0525 | AVG R =0.3684 | mean_pen: 0.0169 |  
iteration 100 | D LOSS = 1.2009 | G LOSS = -0.0538 | AVG R =0.4028 | mean_pen: 0.0144 |  
iteration 150 | D LOSS = 1.2489 | G LOSS = -0.0559 | AVG R =0.4328 | mean_pen: 0.0104 |  
iteration 200 | D LOSS = 1.3057 | G LOSS = -0.0501 | AVG R =0.4666 | mean_pen: 0.0055 |  
iteration 250 | D LOSS = 1.3479 | G LOSS = -0.0377 | AVG R =0.4858 | mean_pen: 0.0023 |  
iteration 300 | D LOSS = 1.3643 | G LOSS = -0.0204 | AVG R =0.4935 | mean_pen: 0.0008 |  
iteration 350 | D LOSS = 1.3697 | G LOSS = -0.0091 | AVG R =0.4920 | mean_pen: 0.0005 |  
iteration 400 | D LOSS = 1.3704 | G LOSS = -0.0044 | AVG R =0.4899 | mean_pen: 0.0004 |  
iteration 450 | D LOSS = 1.3672 | G LOSS = 0.0044 | AVG R =0.4891 | mean_pen: 0.0004 |  
iteration 500 | D LOSS = 1.3630 | G LOSS = 0.0115 | AVG R =0.4886 | mean_pen: 0.0004 |  
iteration 550 | D LOSS = 1.3580 | G LOSS = 0.0205 | AVG R =0.4870 | mean_pen: 0.0005 |  
iteration 600 | D LOSS = 1.3551 | G LOSS = 0.0156 | AVG R =0.4834 | mean_pen: 0.0006 |  
iteration 650 | D LOSS = 1.3542 | G LOSS = 0.0229 | AVG R =0.4832 | mean_pen: 0.0006 |  
iteration 700 | D LOSS = 1.3527 | G LOSS = 0.0230 | AVG R =0.4833 | mean_pen: 0.0005 |  
iteration 750 | D LOSS = 1.3516 | G LOSS = 0.0244 | AVG R =0.4810 | mean_pen: 0.0005 |  
iteration 800 | D LOSS = 1.3498 | G LOSS = 0.0244 | AVG R =0.4801 | mean_pen: 0.0006 |  
iteration 850 | D LOSS = 1.3476 | G LOSS = 0.0265 | AVG R =0.4805 | mean_pen: 0.0004 |  
iteration 900 | D LOSS = 1.3446 | G LOSS = 0.0202 | AVG R =0.4800 | mean_pen: 0.0005 |  
iteration 950 | D LOSS = 1.3440 | G LOSS = 0.0185 | AVG R =0.4787 | mean_pen: 0.0005 |  
iteration 1000 | D LOSS = 1.3418 | G LOSS = 0.0163 | AVG R =0.4783 | mean_pen: 0.0005 |  
iteration 1050 | D LOSS = 1.3412 | G LOSS = 0.0240 | AVG R =0.4766 | mean_pen: 0.0007 |  
iteration 1100 | D LOSS = 1.3412 | G LOSS = 0.0269 | AVG R =0.4774 | mean_pen: 0.0008 |  
iteration 1150 | D LOSS = 1.3397 | G LOSS = 0.0276 | AVG R =0.4770 | mean_pen: 0.0009 |  
iteration 1200 | D LOSS = 1.3389 | G LOSS = 0.0229 | AVG R =0.4756 | mean_pen: 0.0008 |  
iteration 1250 | D LOSS = 1.3380 | G LOSS = 0.0288 | AVG R =0.4762 | mean_pen: 0.0009 |  
iteration 1300 | D LOSS = 1.3398 | G LOSS = 0.0309 | AVG R =0.4765 | mean_pen: 0.0010 |  
iteration 1350 | D LOSS = 1.3394 | G LOSS = 0.0234 | AVG R =0.4753 | mean_pen: 0.0009 |  
iteration 1400 | D LOSS = 1.3384 | G LOSS = 0.0223 | AVG R =0.4773 | mean_pen: 0.0008 |  
iteration 1450 | D LOSS = 1.3392 | G LOSS = 0.0224 | AVG R =0.4781 | mean_pen: 0.0008 |  
iteration 1500 | D LOSS = 1.3405 | G LOSS = 0.0218 | AVG R =0.4770 | mean_pen: 0.0009 |  
iteration 1550 | D LOSS = 1.3400 | G LOSS = 0.0168 | AVG R =0.4762 | mean_pen: 0.0007 |  
iteration 1600 | D LOSS = 1.3388 | G LOSS = 0.0159 | AVG R =0.4759 | mean_pen: 0.0008 |  
iteration 1650 | D LOSS = 1.3394 | G LOSS = 0.0256 | AVG R =0.4768 | mean_pen: 0.0009 |  
iteration 1700 | D LOSS = 1.3406 | G LOSS = 0.0256 | AVG R =0.4771 | mean_pen: 0.0008 |  
iteration 1750 | D LOSS = 1.3416 | G LOSS = 0.0306 | AVG R =0.4777 | mean_pen: 0.0010 |  
iteration 1800 | D LOSS = 1.3431 | G LOSS = 0.0280 | AVG R =0.4788 | mean_pen: 0.0009 |  
iteration 1850 | D LOSS = 1.3441 | G LOSS = 0.0329 | AVG R =0.4784 | mean_pen: 0.0010 |  
iteration 1900 | D LOSS = 1.3425 | G LOSS = 0.0287 | AVG R =0.4787 | mean_pen: 0.0008 |  
iteration 1950 | D LOSS = 1.3429 | G LOSS = 0.0272 | AVG R =0.4786 | mean_pen: 0.0008 |  
iteration 2000 | D LOSS = 1.3434 | G LOSS = 0.0265 | AVG R =0.4790 | mean_pen: 0.0010 |  
iteration 2050 | D LOSS = 1.3425 | G LOSS = 0.0255 | AVG R =0.4784 | mean_pen: 0.0010 |  
iteration 2100 | D LOSS = 1.3455 | G LOSS = 0.0306 | AVG R =0.4783 | mean_pen: 0.0011 |  
iteration 2150 | D LOSS = 1.3436 | G LOSS = 0.0281 | AVG R =0.4784 | mean_pen: 0.0010 |  
iteration 2200 | D LOSS = 1.3413 | G LOSS = 0.0245 | AVG R =0.4783 | mean_pen: 0.0009 |  
iteration 2250 | D LOSS = 1.3443 | G LOSS = 0.0268 | AVG R =0.4787 | mean_pen: 0.0008 |  
iteration 2300 | D LOSS = 1.3435 | G LOSS = 0.0253 | AVG R =0.4790 | mean_pen: 0.0009 |  
iteration 2350 | D LOSS = 1.3447 | G LOSS = 0.0226 | AVG R =0.4791 | mean_pen: 0.0008 |  
iteration 2400 | D LOSS = 1.3452 | G LOSS = 0.0181 | AVG R =0.4792 | mean_pen: 0.0007 |  
iteration 2450 | D LOSS = 1.3451 | G LOSS = 0.0262 | AVG R =0.4799 | mean_pen: 0.0006 |  
iteration 2500 | D LOSS = 1.3464 | G LOSS = 0.0258 | AVG R =0.4799 | mean_pen: 0.0007 |  
iteration 2550 | D LOSS = 1.3457 | G LOSS = 0.0228 | AVG R =0.4797 | mean_pen: 0.0006 |  
iteration 2600 | D LOSS = 1.3460 | G LOSS = 0.0192 | AVG R =0.4797 | mean_pen: 0.0006 |  
iteration 2650 | D LOSS = 1.3459 | G LOSS = 0.0194 | AVG R =0.4799 | mean_pen: 0.0005 |  
iteration 2700 | D LOSS = 1.3471 | G LOSS = 0.0166 | AVG R =0.4797 | mean_pen: 0.0007 |  
iteration 2750 | D LOSS = 1.3459 | G LOSS = 0.0161 | AVG R =0.4799 | mean_pen: 0.0007 |  
iteration 2800 | D LOSS = 1.3477 | G LOSS = 0.0198 | AVG R =0.4809 | mean_pen: 0.0007 |  
iteration 2850 | D LOSS = 1.3479 | G LOSS = 0.0172 | AVG R =0.4809 | mean_pen: 0.0006 |  
