tag,iters,data_size,seed,cwc,ad2d,continuous_w_d,latent_cluster_analysis,mca_dist,mca_tvd_dist,combined_clinical_violations,r2r_auc,r2r_prauc,r2r_acc,s2h_auc,s2h_prauc,s2h_acc,r2s_auc,r2s_prauc,r2s_acc,mem_auc_real,mem_auc_synth,elapsed_time
reinforce_4,30000,0.7,4,8.543391434343171,9.033763726872838,"{'AGE': [np.float64(3.3829445166608925)], 'BMI': [np.float64(3.4934372493483488)], 'DIASTOLIC': [np.float64(4.982059033245597)], 'SYSTOLIC': [np.float64(1.6963691535910665)]}",[-2.9355128423420527],[np.float64(0.4170106115764664)],0.030759994688679147,[0.14452425],0.9179696561984549,0.624436449135952,0.907015343759221,0.8988480116228839,0.5653105037440157,0.8922432871053408,0.9008237101752685,0.573422031525529,0.8939,0.9978888888888888,0.5002984126984127,0
reinforce_3,30000,0.7,3,9.014759887927296,9.613949283949411,"{'AGE': [np.float64(0.8930767451876825)], 'BMI': [np.float64(0.7231587964091497)], 'DIASTOLIC': [np.float64(4.6662693800406405)], 'SYSTOLIC': [np.float64(7.54176714802666)]}",[-2.9396520587347266],[np.float64(0.4170106115764664)],0.0281479593831491,[0.11742155],0.9168921923665994,0.6260987608123031,0.9086751254057244,0.8978881054645892,0.5652318914969775,0.8936079964591325,0.9076404360157446,0.5612258811212942,0.9013333333333333,0.9977777777777778,0.5036910158730159,0
reinforce_2,30000,0.7,2,8.75649030538757,13.785343630281151,"{'AGE': [np.float64(1.1391742436762409)], 'BMI': [np.float64(3.43825450201737)], 'DIASTOLIC': [np.float64(5.193087247480187)], 'SYSTOLIC': [np.float64(9.95788327774894)]}",[-2.97387509050585],[np.float64(0.4170106115764664)],0.02719847742135373,[0.1540015],0.9189193363319638,0.6325328533292675,0.9109434936559457,0.9043422636593481,0.5828492055118359,0.8999151667158454,0.8972552228927384,0.5620735400321824,0.8923,0.9978888888888888,0.49386325396825403,0
reparam_gan_4,30000,0.7,4,8.259489925006186,7.997387740600646,"{'AGE': [np.float64(0.7618846138783408)], 'BMI': [np.float64(1.360280659601391)], 'DIASTOLIC': [np.float64(6.742558236785488)], 'SYSTOLIC': [np.float64(2.6156043460276335)]}",[-2.9594508893682807],[np.float64(0.4170106115764664)],0.036464156329877276,[0.17111988],0.9179696561984549,0.624436449135952,0.907015343759221,0.897998037635661,0.5613735546370174,0.8926121274712304,0.898886566860257,0.5882698821342568,0.8914,0.9978888888888888,0.5008936031746032,0
reparam_gan_3,30000,0.7,3,8.173712662670859,11.117920494862219,"{'AGE': [np.float64(4.5707300789279675)], 'BMI': [np.float64(3.302593665660702)], 'DIASTOLIC': [np.float64(1.6639731911577622)], 'SYSTOLIC': [np.float64(6.194425256225121)]}",[-2.9879396903930124],[np.float64(0.4170106115764664)],0.03375483754366164,[0.16790822],0.9168921923665994,0.6260987608123031,0.9086751254057244,0.9002878440957351,0.5705045875209311,0.8945300973738566,0.8903337121428205,0.574895750282149,0.8851666666666667,0.9977777777777778,0.5051040608465608,0
reparam_gan_2,30000,0.7,2,8.239103805481346,25.476842022611763,"{'AGE': [np.float64(5.31861661673033)], 'BMI': [np.float64(2.186596512367434)], 'DIASTOLIC': [np.float64(10.04944020729112)], 'SYSTOLIC': [np.float64(18.146151725525424)]}",[-2.975199313450227],[np.float64(0.4170106115764664)],0.06387454807667482,[0.14866404],0.9189193363319638,0.6325328533292675,0.9109434936559457,0.9031446595609823,0.5748971127663789,0.8980525228681027,0.8913709774246049,0.5325929926956892,0.8859666666666667,0.9978888888888888,0.49395220634920634,0
no_entropy_4,30000,0.7,4,8.968936923258456,2.323070594920661,"{'AGE': [np.float64(0.882108771560447)], 'BMI': [np.float64(0.6529694002782473)], 'DIASTOLIC': [np.float64(1.2903161353405759)], 'SYSTOLIC': [np.float64(1.1328278489982813)]}",[-2.945617454996045],[np.float64(0.4170106115764664)],0.029238043811020246,[0.10159664],0.9179696561984549,0.624436449135952,0.907015343759221,0.9030786147615958,0.5691476403000887,0.8955259663617586,0.9103793384071588,0.601950037942259,0.9048666666666667,0.9978888888888888,0.5011665291005292,0
no_entropy_3,30000,0.7,3,8.835514426386958,1.84527915615212,"{'AGE': [np.float64(0.9263669093556443)], 'BMI': [np.float64(0.6377773647787025)], 'DIASTOLIC': [np.float64(0.9361789358192442)], 'SYSTOLIC': [np.float64(1.1015437213221966)]}",[-2.9841977820675107],[np.float64(0.4170106115764664)],0.025728127870049685,[0.09796894],0.9168921923665994,0.6260987608123031,0.9086751254057244,0.8975428809164607,0.5601976056421168,0.8914318383003836,0.9095447990130028,0.6265244785105243,0.9011666666666667,0.9977777777777778,0.5042331349206348,0
reinforce_0,30000,0.7,0,8.17628619925865,10.371013593654558,"{'AGE': [np.float64(2.4939376446103014)], 'BMI': [np.float64(2.082734967592382)], 'DIASTOLIC': [np.float64(2.3690679244066306)], 'SYSTOLIC': [np.float64(9.002142249768207)]}",[-2.9670167934826472],[np.float64(0.4170106115764664)],0.03340562151675097,[0.13194698],0,0,0,0.9007626764191456,0.5606080841821608,0.8927965476541753,0.9073427842957831,0.6234237278217245,0.8910333333333333,0.9977777777777778,0.49879435449735454,0
no_entropy_2,30000,0.7,2,8.576718893413467,2.136025549791061,"{'AGE': [np.float64(1.0655155443673106)], 'BMI': [np.float64(0.4194548936156921)], 'DIASTOLIC': [np.float64(0.9328738448461271)], 'SYSTOLIC': [np.float64(1.3995026953491594)]}",[-2.9636675155455445],[np.float64(0.4170106115764664)],0.02956262121061231,[0.09716951],0,0,0,0.899801153373658,0.572433040617004,0.8959316907642373,0.9061078711181116,0.5881302607668716,0.901,0.9978888888888888,0.4942749973544973,0
reinforce_1,30000,0.7,1,8.545298152188662,9.00551802794885,"{'AGE': [np.float64(1.3655015985847372)], 'BMI': [np.float64(2.35497192697299)], 'DIASTOLIC': [np.float64(6.254950964699908)], 'SYSTOLIC': [np.float64(3.2646095553206806)]}",[-2.9727567756801228],[np.float64(0.4170106115764664)],0.039317847513453505,[0.14613975],0,0,0,0.9013514944231427,0.5692192890199138,0.896116110947182,0.9011491003493347,0.6038979221069634,0.8892333333333333,0.9971111111111112,0.5022777116402117,0
reparam_gan_0,30000,0.7,0,8.16981357804871,14.75714380653721,"{'AGE': [np.float64(1.9385158396694893)], 'BMI': [np.float64(1.0797507566374136)], 'DIASTOLIC': [np.float64(8.258099067198716)], 'SYSTOLIC': [np.float64(9.48060503270959)]}",[-2.918753735558343],[np.float64(0.4170106115764664)],0.038697780310490947,[0.19386538],0,0,0,0.899709222581884,0.5729167113318636,0.8969460017704337,0.8985340690360211,0.5322115192518135,0.8976,0.9977777777777778,0.49892278835978837,0
reparam_gan_1,30000,0.7,1,7.814476320277239,8.882165590261199,"{'AGE': [np.float64(2.277170362088343)], 'BMI': [np.float64(2.8805876003527153)], 'DIASTOLIC': [np.float64(2.2167105511789287)], 'SYSTOLIC': [np.float64(5.676950015023153)]}",[-2.953446999980517],[np.float64(0.4170106115764664)],0.033839907199421655,[0.19867117],0,0,0,0.9014845954093532,0.576657794262039,0.8950095898495132,0.8916865145359268,0.5773847155715911,0.8841333333333333,0.9971111111111112,0.501405507936508,0
