,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.271739158416648,0.13339578349158132,0.7025846490904324,0.1701312306156981,0.4464495958930232,0.7359787596056914,0.3871376686227899,-0.21775685016025192,0.137336500782551,-0.1669201493057721,0.05487994979758551,0.19336132191332023,0.07372173415205373,0.07994519030539317,-0.2904641485016486,-0.02023764057376652,0.20404144199914262,0.07179339782814255,-0.08853358523795882,0.21616471902853382,-0.08809422857972224,-0.09842070241275055,-0.0306320798577271,0.02207539658305504,0.15017043653654066,0.05642967745014623,0.08679040972035111,-0.1830171109657858,-0.021064425133987905,0.2726690652189621,0.06557769627287706,-0.16669271916587186,0.05425462006295477,-0.035648444334436424,-0.034548900723430795,-0.047889691827389405,-0.12381941668715762,-0.06581734711625829,0.1514816890539192,0.07888863301060987,0.09063518468721947,0.16620678234003858,-0.07602446858225881,0.030928880984166095,-0.031024587492462605,-0.0356860046048046,0.014723719588832479,0.011995136277334891,-0.10829247486029868,0.0755790971214151,-0.10000514696824361,0.16241394977384904,0.16960944002410852,0.03679111799112197,0.01708325823088635,-0.023418467393601962,-0.02016978585716724,-0.016565577404553975,-0.11361656836464627,-0.11845014896941551,-0.02472505455284568,-0.09735382368924016,-0.1278983647526409,0.5406659737273586,-0.11380097137817373,-0.08276037620604484,-0.4200738422039966,0.23349854245744192,-0.0012847512998493851,0.029691658258120573,-0.06418603894848393,0.009285217037709832,0.059006965365430535,-0.0586451089665706,0.011677497458416328,0.06957246562868115,0.029789947510032798,0.10798418995172451,0.012118632146348389,-0.07080390791147397,-0.014034037012977804,0.08018140733077457,-0.12183900028684938,0.022561242126742088,0.1323072943337686,0.18278804400797513,0.041188647048370844,-0.03191194649046801,-0.04283764646591213,0.014926327381908477,0.10976241339542726,0.040779949488881966,-0.12132638215927871,0.03767870362935984,0.03458040665861405,0.03139005060753305,0.026081914764836858,0.22177331581729168,-0.07410676974019288,0.19105616580944604,-0.022496945996072687,-0.23415027328662635,0.009902992483519784,-0.05252248022983295,0.01410413403356316,0.0011490868667599825,0.0411384329889749
blood_glucose_mean,0.271739158416648,1.0,0.1528308995404868,0.27496122764185443,0.37366829613099134,0.20633399036439232,0.2867733902326384,0.13873219146827673,-0.0941005646595349,0.057906127225082996,-0.10594109097062959,0.07030922348206423,0.1092109708365622,0.07750129785045252,0.014510181485191332,-0.1590402742374821,-5.5012841792241166e-05,0.08799123143117055,0.050966846766371005,-0.14688522098430296,0.1023871804051124,0.25645975266760945,-0.08363629092507857,-0.022933142095187115,0.22205147243794732,0.10598939937316286,0.060050593160829314,-0.006994032718369111,-0.17910953913878505,0.2230581256672977,0.032626276025090266,0.2050756067969484,-0.2964912865614093,0.11802756830678172,-0.32394249382546764,-0.02307260364947415,-0.06650679424062107,-0.1899213745967876,-0.2742546672918775,0.05037195660596917,0.09126928582484274,0.09259339584558185,0.09442207133676334,0.2001374320260141,0.034143320282412626,0.0448851392350342,0.09286587863087974,0.06715168900196478,0.11564587031343,-0.2434743477010429,0.04678046983513161,0.004511652084919645,0.12716954929336238,0.11632464201631404,0.019564505699646774,0.13445938704192867,-0.26260872306221544,-0.09468213048153883,-0.1502253477793627,-0.1698284346115105,-0.11365312106559183,-0.1229318597794597,-0.0852132086137171,-0.1855874342928057,0.1634486402222914,0.0737724095987524,-0.0146426713592162,-0.17689578494276872,0.030305230620009633,-0.09534468300787699,-0.054042460791964265,0.017701366020307262,0.04790800184088673,0.056765104750548454,0.03981533188227601,0.13796193645975766,0.006740256175568457,0.058090232199638756,0.1434843903054476,-0.04001886363476532,-0.042670366628104944,-0.0038596535895259075,0.06924374287742703,0.03356609789668357,0.11058506447108475,0.19532360330548157,0.24204244984539158,0.13956791872361055,-0.028854818085676224,0.06874365643113643,0.026845206227781318,0.11315047825202654,-0.01784200822656459,0.07623506245619228,0.018754322920503868,0.04910963429295792,0.031383492760372014,0.07694532369053372,0.3557481087694531,-0.012599600040741591,-0.021425655428147318,0.030557926135385313,-0.016095409497491397,-0.0032287702581633554,-0.07999998625356973,-0.07916817070395049,-0.062395186336533785,-0.09859339528196542
resp_rate_mean,0.13339578349158132,0.1528308995404868,1.0,0.10576628753503059,0.08735700536638857,0.10925772297598697,0.15575501865198105,0.07278523781541223,-0.07079201683169588,0.049795898969111296,-0.028098549198138586,0.039621296256259535,0.06616976082668298,0.0536346157018416,0.019672325764705487,-0.06808232020520305,-0.06606748485803063,0.06425136591873866,0.06808289212293032,-0.06552740727302568,0.05354140343648683,0.047898514138447125,-0.10653252292083996,-0.028034756494450017,0.12438784021613465,0.047321146944958085,0.007393749671527957,-0.019473963792770672,0.01896700216427447,0.12521152898081683,0.10303553876601541,0.10622351717525305,-0.1277296831259129,0.1090418511442174,-0.04126979844005467,-0.023363232846559116,-0.04256784663428338,-0.0406521493032395,-0.057592635688331985,0.0402098244917056,0.02952110111791777,0.08721646947139196,0.019723787779233764,0.08207752228414218,0.02373595453496488,0.023988922795921987,-0.08223852864928831,0.0023753207574161925,0.042227544754293404,-0.07188203003389697,0.030039781767603087,-0.08491812209450264,0.0599659242527392,0.05745663238318821,-0.01575546258731799,0.049772970531803094,-0.1307648943967048,-0.005828812193783266,-0.00808904798651595,-0.03759351904783829,-0.029982836267335854,-0.03947938000566928,0.02863145627499146,-0.0928203427311773,0.1045778800213647,0.042820686719641655,0.04370161736824962,-0.03129979779519366,0.03812369271430221,0.023486367758200937,-0.008433542549780376,-0.03920509031127974,-0.041338182074042745,-0.020593071262221676,-0.0462607307699505,-0.023827078023666654,-0.0019639561348495736,0.006313748460990771,0.034615263109444426,-0.04268848486311652,-0.004603380903339954,-0.030095402533280784,0.028067358566280808,-0.03181099531124176,0.014861237626456709,0.08007429989969266,0.10705937491520764,0.039601764953908464,-0.04016942005582267,-0.011989713420469067,4.988722956332316e-05,0.10341293669267126,-0.08526394969310937,-0.006981013888305168,-0.014272576828453787,0.040345174324177294,-0.007244254568333798,-0.004495358158713373,0.1049253399676493,-0.05516702242773771,0.023136585935254722,-0.02290480808235308,0.027910708091096314,0.023447710404206238,-0.06698462302366806,-0.028490167491417608,0.00802275528378791,-0.030714043199620955
stress_mean,0.7025846490904324,0.27496122764185443,0.10576628753503059,1.0,0.20376442041024484,0.391393684474723,0.7209527785311463,0.378893397498584,-0.19296378754042923,0.13744045507591449,-0.16214886495792016,0.049958317560214696,0.17974549621923777,0.09926385084271634,0.017807115193425937,-0.26886295375109825,-0.06931470686466908,0.1443689470048781,0.06692865107811267,-0.12849570998713034,0.19803358280171215,0.01616550434937729,-0.07251257929654778,-0.06281276263682253,0.11090841446463916,0.12728897008609769,0.0919847180367215,0.12353643881635842,-0.08885200954429986,-0.017815380272836336,0.2588599906763565,0.1346806079135898,-0.11640991293826802,0.10756550487350157,-0.04116899965844303,-0.03227518584481728,0.06331051210626816,-0.022730926796016446,0.03119780834750964,0.07112049122860821,0.08677327978355384,0.12449560542431758,0.1796127871467635,-0.0581485043275981,0.057872480456375545,0.011943478172644155,0.007879339790573965,0.011440850560143507,0.0733723420463362,-0.0771954659609098,0.03139131109026182,-0.026893077946216568,0.14980657205930042,0.14593831103067115,0.10123133363797396,0.03707154098699595,-0.06602729342608082,0.033582641307230036,-0.02536602507308731,-0.13018822355286586,-0.05487694755635416,-0.07529083229435778,-0.11073483244379226,-0.16179991845169628,0.5983639370817345,-0.08589756748829952,-0.2059415693352419,-0.511205530083811,0.11033938420921864,0.05522944818962229,0.06441950587672747,-0.09390461399053306,-0.026045692726922354,0.05630047072171709,-0.08433726222861399,-0.00419484616486974,0.0490340156515564,0.02598397263334261,0.10783326588197369,0.01411294134743385,-0.054844976314278385,0.029932880329426453,0.060180732148413636,-0.12447733495653261,-0.003956219963137105,0.10851006448763767,0.12749029989346097,0.02761467650222984,-0.036413765564540866,-0.008082256218198466,-0.0030032893672845462,0.13371070234727594,0.05362420164318757,-0.10493663581755798,0.01762616286286442,0.023312987886930012,0.02750295243160216,-0.02915753117781247,0.2107033245321903,-0.06167811939780015,-0.07393470951056166,0.022375155731434875,0.007802812823130988,-0.005896447226268806,-0.09400493874507239,-0.007694443727497181,-0.005794001211407907,0.02311756138741394
blood_glucose_std,0.1701312306156981,0.37366829613099134,0.08735700536638857,0.20376442041024484,1.0,0.09110682918659808,0.1809136058567956,0.07149163159963533,-0.027943897240459772,0.030167213106279046,-0.06552346642048801,0.0712852116157882,0.05987617848551457,0.07044351796221146,-0.05104813857980596,-0.08999473908224355,-0.041513334007824795,0.03281610654025984,0.03215935588375153,-0.18664574620323846,0.0911736709804008,0.2740034935934145,-0.049137864774918445,-0.015733249492204684,0.1716117112609488,0.12375921410831227,0.06119442839760623,-0.015800229398461606,-0.19162108603805109,0.1994170611627182,0.016987526381884416,0.1540833772634443,-0.24187612261479413,0.10326169321495285,-0.34012945246360143,-0.04522469032960474,-0.06337526325519448,-0.1760912224026925,-0.28138157656176854,0.044190628065675086,0.09141945796472424,0.08496856790640993,0.05938748709550992,0.2129537008054645,-0.025191795855977608,0.05318232275065864,0.07756791051008448,0.06616559927839627,0.09947107609896146,-0.23187787410634678,0.02162817989454393,0.02118802501550278,0.11674518766756918,0.10652482850721044,-0.0018336781944976463,0.14512307779470687,-0.23192756743693316,-0.08062789593441963,-0.16674491474964115,-0.1482371733632273,-0.12382659143917314,-0.1612551235679779,-0.09190231077231867,-0.15101333563638528,0.09976708163453077,0.0714922409799068,-0.029334283493590664,-0.14315913651530204,0.021286167232759466,-0.11861165653709767,-0.05748323004094738,-0.03991986176286178,0.1014725507335517,0.10307768055833909,0.0731794256720057,0.19754064078782196,0.06321063053865307,0.09419596359950524,0.16740547162603833,0.003497275815438556,-0.06382372647041137,0.02289713368295535,0.07769194269261853,0.06405156567367344,0.11511278654849243,0.17325975860279103,0.22885838231163258,0.16339170044610563,0.009412266555523368,0.08779279252807774,0.003894246108011288,0.1153925107443165,0.06528284869692005,0.09919729742278989,0.05231821092597721,0.06084762690064119,0.027005570902931306,0.09761369022953631,0.3611295677174674,0.034295028368670724,-0.03965401175277388,0.09201300565041269,-0.02846351275185481,0.010420463172978718,-0.08354347028172246,-0.09538803034895482,-0.11235994050540396,-0.08984217890757461
total_steps,0.4464495958930232,0.20633399036439232,0.10925772297598697,0.391393684474723,0.09110682918659808,1.0,0.3531122194953741,0.47907244231448703,-0.14509877623042283,0.10373550495075082,-0.08257616301959778,0.03308668102640815,0.24537256030323198,0.0972180390514575,0.4258593233586254,-0.5549488402963992,0.15663023045479268,0.19910323674238517,0.23725184822768017,0.17726395121319183,0.10919186862343226,-0.017426269186630514,-0.028631774040402416,0.0800025280442125,0.010461240644406665,0.10351910748996757,0.06210870383235865,0.1499807875120914,-0.14862680962739633,-0.021279154526396716,0.06622747324884454,0.05955002477134826,0.00381240801090333,0.10539057040506994,0.022650899737536066,0.06027276537333402,-0.058589311836807205,-0.025624668714430116,0.12162325032659511,0.07673500930203202,0.09518861060776208,0.07543739154591257,0.08028174159139558,-0.029575945407668364,0.09009316344344485,0.06777604327668282,0.00535334019323851,0.07476787975608554,0.002539120817957026,0.03297630621754681,0.07668355180275534,0.014797856499980064,0.12380902224893359,0.04350615957764201,0.04670723415855996,0.04553989106515075,-0.011636918639476862,0.060264473985174837,0.03272464759345453,-0.02944233518562513,-0.08750606695819027,-0.009566099981566656,-0.004356617645924438,-0.09788132111163278,0.32036207415266554,-0.007517618811298056,-0.08835573085896355,-0.20342921136463332,0.07573211676248386,0.027751153446675496,0.055897541272826125,-0.06216284441449079,-0.050105420441031674,-0.06613828014086437,-0.0680097521106071,-0.13025823128050867,-0.022360731666488744,-0.04799439023050919,0.0035490386509744983,-0.05001002393541865,0.0016172872020264704,-0.06696092949373936,-0.012471462272499085,-0.1228315272678883,-0.054779872634060894,0.006681392681677804,-0.008784614944500868,-0.06255228857050102,-0.013687846555369578,-0.0502900768875458,0.038686737942507037,-0.005288467053565166,-0.046947127528382475,-0.12222382555105965,-0.017689160977037308,0.0038418623040182872,0.010371369087758622,-0.06313055804071732,0.012457710301685479,-0.13019337546260154,-0.04926250552727647,-0.013862303900730549,-0.02278700106850813,0.025140533146817183,0.06006507539765843,0.028530441264118515,0.004074744823059327,0.04626135040603614
resting_heart_rate,0.7359787596056914,0.2867733902326384,0.15575501865198105,0.7209527785311463,0.1809136058567956,0.3531122194953741,1.0,0.3691585404435124,-0.20527541040422212,0.11170677875900754,-0.17012810533562764,0.0778581161050801,0.18870229187759724,0.10480030935592495,-0.05501264413461987,-0.2439136625798455,-0.15965883709507894,0.12757040740259626,0.041166447713692114,-0.1028857346143157,0.2003459010041037,-0.04828003589397606,-0.15598189441712962,-0.07933185147572348,0.12293855272591328,0.13501789654394006,0.13210063182562967,0.09197391392443828,-0.057749193531738754,0.00991616258072547,0.3911081732637823,0.17847639487892514,-0.15551085696918002,0.1259352363418811,0.0009380126635412826,-0.07750681858145232,0.1904271938834818,-0.0818558789875663,0.043851144319715506,0.032885699440817893,0.06150821875792525,0.1440888748266694,0.17566712450867542,-0.022346528411773176,0.06841226056613113,-0.01047648424339862,-0.05700642717793633,-0.012073060050772706,0.0929882267797288,-0.11862348971114439,0.03074625259855669,-0.042435196848017186,0.13688976463358488,0.1552221166331543,0.12410542793863903,0.040051726757757054,-0.12253751747998487,0.030021851167157065,-0.03835258476908748,-0.1623332782144424,-0.04316826545710783,-0.07219703707660019,-0.10464530618233787,-0.19514137218935215,0.6028312756136454,-0.10544919681864143,-0.21067386413997072,-0.5038263807298943,0.06918964737937765,0.1455468690337397,0.08865910181724983,-0.14122854650927272,-0.05839940125358784,0.029473040527209546,-0.15186289721328483,-0.07049763981431686,0.027136072533839244,0.022180297770864648,0.1154375027277381,-0.0376304509438616,-0.054521071548304684,-0.01695400334545633,0.060246679319180395,-0.15362203528357762,0.02035325476488185,0.11924875823787577,0.13410655035876823,0.025535022851442532,-0.06977820344828821,-0.01583986081838605,-0.006745681348098909,0.16948388055968833,-0.005793885847031225,-0.11884643664063445,-0.015162193626522647,0.0008252761505408964,0.009873890751409355,-0.05655544558537787,0.22132689136913317,-0.11642055421603849,-0.10302100545715795,-0.003593767600672285,0.059533773777068054,0.002993628444633978,-0.13901709774682713,-0.008747369601454096,0.000336202335061971,0.015063349725665181
total_kcal,0.3871376686227899,0.13873219146827673,0.07278523781541223,0.378893397498584,0.07149163159963533,0.47907244231448703,0.3691585404435124,1.0,-0.13092763942035954,0.07675433297348122,-0.04340913813390232,0.043904171487101504,0.23389148474567106,0.07462315170721676,0.3357508287123316,-0.5175595322367579,0.06969712531855166,0.18279509582387166,0.20424611052407304,0.15052114608637449,0.07799949274377983,-0.06795793819204358,-0.052669502117797334,0.05071143237008406,-0.003048198996656303,0.07328372013119165,0.055473824937096856,0.16836437169372917,-0.10067807664161493,-0.06606181408174598,0.159922725354744,0.06600678558564495,0.015706575720797724,0.0983229347527328,0.06446708005067503,0.027865672922890463,0.045521714846238105,-0.02162454208382925,0.1426449514307332,0.03333717359386868,0.09985237975291915,0.0521513470689684,0.07211479972147503,-0.08124940713187072,0.04254194432304429,0.062112275061203905,-0.058105181152102586,0.04003832841188332,0.035241427466526316,0.07700964529842526,0.035484750055564375,0.0030495103912815823,0.10996763353792004,0.008209333585492253,0.049740638232834145,0.016942757403308348,0.03543131797501778,0.07121751856895998,0.024570583737015213,-0.04274554857803582,-0.03282344135561464,-0.02496524489985946,0.002612640315068916,-0.0829891041838302,0.29765628348157364,-0.05526853581239472,-0.10959001487871335,-0.17677922306202323,0.07469937807759068,0.11453681538632253,0.09492279056012187,-0.062174251702060285,-0.06757303982407528,-0.06609211869497496,-0.09664525368182167,-0.15212155624064963,-0.03330941591206799,-0.04420782096961898,-0.037477737181983335,-0.04814226013577561,0.007740906224487758,-0.062241988061844264,-0.01991037586618057,-0.08806919812605685,-0.052984682796205065,-0.013095042367699858,-0.06249240175131534,-0.08069619410648744,-0.02526609495535413,-0.0457791253369265,0.011896688651508686,-0.01418281460680319,-0.05854326992665558,-0.1198785782254508,-0.028576006110396637,-0.03369783984104194,0.015081731413940449,-0.07224652125329051,-0.01600469164379004,-0.10753410894029114,-0.14983815180563737,0.022608255754434287,0.055910869529247134,0.02225961716542043,0.03701648181380617,0.04060512386453652,0.010625787501749053,0.05692115844287756
sleep_light_hrs,-0.21775685016025192,-0.0941005646595349,-0.07079201683169588,-0.19296378754042923,-0.027943897240459772,-0.14509877623042283,-0.20527541040422212,-0.13092763942035954,1.0,-0.013465299095411368,0.0777731016466896,0.07116774346867856,-0.05538113059402828,0.00755560945075616,-0.07354406667257414,0.12857626992078586,-0.03977551203006858,-0.024688571768066058,-0.028805192460702355,-0.011533459061779909,0.003331727562197239,0.08329852486720395,0.04731130218137544,0.002564266386036503,-0.05042306165916741,0.010099512105957303,-0.020733533336795208,-0.06300560422830723,0.035761562585507854,0.07544242732168628,-0.03679599227992999,0.010847538351136637,0.09326698585429713,-0.02925865726287046,-0.0017050634576568997,0.06742032807003068,0.03262649951439738,0.035378029168110336,0.004198736947079469,0.012022702063015036,0.04707134133012322,0.006105781610375746,0.022419407598278214,0.08501693519287824,-0.0037828503952111567,0.03298826758097558,0.09505814742512243,0.06474786332555897,0.06688276853927874,-0.09784300611561873,0.056473032099814295,0.07760936363493531,0.05353939130097918,0.009034176213573289,0.01175888964764922,0.07101804059447783,-0.033359645504077086,-0.07184164492232242,-0.0705975372520526,-0.024941554657568074,-0.018954898386417483,-0.04323203409446625,-0.08038980718436291,0.026278303299645697,-0.10441070120185034,0.04214916106229165,0.02390866410991247,0.09751691634889861,0.021480072806883604,-0.07067849315846388,-0.041935252288488475,0.04169861125816845,0.05599251432106521,0.027368661963535667,0.06205803185166244,0.05099239194734601,0.01828128878106945,0.005928564737528532,0.003849418662178002,0.03810836911836357,-0.05847851756019594,0.0370188988827458,0.02139926533061066,0.06348028058635209,0.0035290008482485543,-0.04416042577977423,-0.04645737720710555,0.007643748187909785,0.021475771130023403,0.04209674410247407,-0.001884955915826235,-0.06041386062316015,0.06593021198806057,0.0622654803831961,0.020908436766232344,0.003645928043212046,0.03307720085419608,0.02986642970045069,-0.01981975223077792,0.07343566683461426,0.013854117984106067,0.06096112958981085,-0.04262063240065726,0.00067919338769077,-0.019490701401373062,-0.06691384464126089,-0.049274672038294984,-0.04522294806913949
sleep_deep_hrs,0.137336500782551,0.057906127225082996,0.049795898969111296,0.13744045507591449,0.030167213106279046,0.10373550495075082,0.11170677875900754,0.07675433297348122,-0.013465299095411368,1.0,-0.0271225816293162,0.005024991043030779,0.051088636341216284,0.02100752229074095,0.019367402845256697,-0.03408809750331393,-0.03910767617216856,0.04197986373554763,0.02959521504236524,-0.10158148434211793,0.07421678295100818,0.0227419377207245,0.00949790035421121,-0.015204290495094423,0.08219459635343829,0.04643600392447001,-0.007891875752538255,0.06844081186690329,-0.011207373940911309,0.02376313828161879,0.06218876197016928,0.08734541329141043,0.008300112549695118,0.05408779510955736,0.05981991011054636,0.009602124855305738,-0.10235517571034118,0.05977971855663615,0.04865615601366012,0.04640435962840733,0.03176472677364982,0.02589993340864101,0.024605173535195677,-0.031300984080284575,0.005505644906568085,0.011798768057559231,-0.044230884308676284,0.011206805417941702,0.01541844090011228,0.041179881251419,0.016470630220963532,-0.038183316672651166,0.06281607720702195,0.0310148733314894,0.022019120277494593,0.0064755239155935606,0.016406467895014168,0.04358056712780356,0.02137230336314834,0.009487770410580226,-0.01601781411344721,-0.0006635265331714976,0.03974498547151018,-0.0251529565032155,0.1132496844473531,-0.0012321442359376216,-0.023513695428098655,-0.0518315004920512,0.10506099070837938,0.04038927970052509,0.0671876681220587,-0.011015374539906734,0.029000548183269186,0.012610852286913303,-0.018034467559845314,-0.006886030029670865,0.061810124094194056,0.0073452035126640594,0.027163646631093056,0.020382390289758728,0.010887154167106212,-0.007716851698599412,0.024431842501744218,-0.019112167407150084,-0.013429197161003784,0.025430168863319218,0.023612860387395355,-0.002561315576196873,0.017730633215193182,0.0021579331364326632,-0.012548717651483127,0.05013308552176388,0.010800259267065045,-0.02890728018422991,0.017975408009111495,0.0042671172988471276,0.016418477535724424,3.763474965694755e-05,-0.001542366795930399,-0.004944645453746908,-0.01342085740993621,-0.0013062768577818472,0.021838978764190727,-0.018700343112086633,-0.013109661736367153,0.011831276025670159,0.0113429111016779,0.05771933034586122
