α=1.00%, θ*=0.90, TPR=0.0042, FPR=0.0066, PPV=0.3877, Advantage=-0.0024
α=2.00%, θ*=0.95, TPR=0.0071, FPR=0.0132, PPV=0.3507, Advantage=-0.0061
α=3.00%, θ*=0.95, TPR=0.0071, FPR=0.0132, PPV=0.3507, Advantage=-0.0061
α=4.00%, θ*=1.00, TPR=0.0142, FPR=0.0329, PPV=0.3017, Advantage=-0.0187
α=5.00%, θ*=1.05, TPR=0.0235, FPR=0.0461, PPV=0.3381, Advantage=-0.0225
α=6.00%, θ*=1.15, TPR=0.0404, FPR=0.0570, PPV=0.4149, Advantage=-0.0166
α=7.00%, θ*=1.25, TPR=0.0588, FPR=0.0636, PPV=0.4804, Advantage=-0.0048
α=8.00%, θ*=1.30, TPR=0.0706, FPR=0.0746, PPV=0.4863, Advantage=-0.0040
α=9.00%, θ*=1.35, TPR=0.0870, FPR=0.0877, PPV=0.4979, Advantage=-0.0007
α=10.00%, θ*=1.35, TPR=0.0870, FPR=0.0877, PPV=0.4979, Advantage=-0.0007
α=11.00%, θ*=1.40, TPR=0.1144, FPR=0.1009, PPV=0.5315, Advantage=0.0136
α=12.00%, θ*=1.40, TPR=0.1144, FPR=0.1009, PPV=0.5315, Advantage=0.0136
α=13.00%, θ*=1.40, TPR=0.1144, FPR=0.1009, PPV=0.5315, Advantage=0.0136
α=14.00%, θ*=1.40, TPR=0.1144, FPR=0.1009, PPV=0.5315, Advantage=0.0136
α=15.00%, θ*=1.40, TPR=0.1144, FPR=0.1009, PPV=0.5315, Advantage=0.0136
α=16.00%, θ*=1.45, TPR=0.1519, FPR=0.1579, PPV=0.4904, Advantage=-0.0060
α=17.00%, θ*=1.45, TPR=0.1519, FPR=0.1579, PPV=0.4904, Advantage=-0.0060
α=18.00%, θ*=1.45, TPR=0.1519, FPR=0.1579, PPV=0.4904, Advantage=-0.0060
α=19.00%, θ*=1.50, TPR=0.1894, FPR=0.1842, PPV=0.5070, Advantage=0.0052
α=20.00%, θ*=1.50, TPR=0.1894, FPR=0.1842, PPV=0.5070, Advantage=0.0052
α=21.00%, θ*=1.50, TPR=0.1894, FPR=0.1842, PPV=0.5070, Advantage=0.0052
α=22.00%, θ*=1.55, TPR=0.2274, FPR=0.2105, PPV=0.5193, Advantage=0.0169
α=23.00%, θ*=1.55, TPR=0.2274, FPR=0.2105, PPV=0.5193, Advantage=0.0169
α=24.00%, θ*=1.60, TPR=0.2600, FPR=0.2390, PPV=0.5210, Advantage=0.0210
α=25.00%, θ*=1.60, TPR=0.2600, FPR=0.2390, PPV=0.5210, Advantage=0.0210
α=26.00%, θ*=1.60, TPR=0.2600, FPR=0.2390, PPV=0.5210, Advantage=0.0210
α=27.00%, θ*=1.60, TPR=0.2600, FPR=0.2390, PPV=0.5210, Advantage=0.0210
