feature,avg_drop_acc
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.008480000000000007
Total Cholesterol (mg/dL)_value (mg/dL),0.007800000000000007
blood_glucose_mean,0.006480000000000005
blood_glucose_std,0.005560000000000005
HDL Cholesterol (mg/dL)_value (mg/dL),0.0046800000000000045
Kidney problems,0.004680000000000004
Diabetic retinopathy (1+),0.0043600000000000045
High blood cholesterol,0.003560000000000003
Glucose (mg/dL)_value (mg/dL),0.0030400000000000023
P,0.0021200000000000017
moca_total_score_value,0.002080000000000002
cube_visuospatial_executive_value,0.002080000000000002
stress_mean,0.0019200000000000016
resting_heart_rate,0.0018400000000000014
BORDERLINE,0.0016800000000000016
moca_orientation_value,0.0016400000000000015
Rate,0.0014400000000000014
Obesity,0.0014400000000000014
Arthritis,0.0014000000000000015
subtraction_value,0.001240000000000001
ALT (IU/L)_value (IU/L),0.001200000000000001
moca_abstraction_value,0.001120000000000001
Marijuana user,0.001080000000000001
sleep_deep_hrs,0.0010400000000000008
Potassium (mEq/L)_value (mEq/L),0.0010000000000000009
Circulation problems,0.0010000000000000009
PR,0.0010000000000000009
Albumin (g/dL)_value (g/dL),0.0009200000000000007
BUN (mg/dL)_value (mg/dL),0.0007600000000000008
A/G Ratio_value,0.0007600000000000006
lettera_value,0.0006800000000000006
repetition_value,0.0006000000000000005
Alkaline Phosphatase (IU/L)_value (IU/L),0.0006000000000000005
T,0.0005600000000000005
Cataracts (1+ eyes),0.0005600000000000004
moca_combined_mis_score_value,0.0005600000000000004
BUN/Creatinine ratio_value,0.0005200000000000004
act_generic_hrs,0.0004400000000000004
heart_rate_mean,0.0004400000000000004
memory_trial2_time_value,0.00040000000000000034
"Globulin, Total (g/dL)_value (g/dL)",0.00036000000000000035
total_kcal,0.00036000000000000024
digitspan_time_value,0.00032000000000000013
Dry eye (1+),0.0002800000000000002
delayed_recall_with_no_clue_time_value,0.00024000000000000028
Calcium (mg/dL)_value (mg/dL),0.00024000000000000028
Urine Albumin (mg/dL)_value (mg/DL),0.0002400000000000002
Osteoporosis,0.00020000000000000017
Other heart issues (pacemaker),0.00016000000000000026
resp_rate_mean,0.00016000000000000015
QT,0.00016000000000000015
Heart attack,0.00016000000000000015
act_walking_hrs,0.00012000000000000013
cube_visuospatial_executive_time_value,0.00012000000000000006
High blood pressure,0.00011999999999999999
act_running_hrs,8.000000000000007e-05
Multiple sclerosis,8.000000000000007e-05
memory_trial2_value,8.000000000000006e-05
Chloride (mEq/L)_value (mEq/L),4.0000000000000105e-05
repetition_time_value,4.000000000000005e-05
total_steps,4.000000000000004e-05
Retinal vascular occlusion,-4.000000000000004e-05
naming_value,-4.000000000000005e-05
Chronic pullmonary problems,-7.999999999999986e-05
memory_trial1_time_value,-8.000000000000006e-05
sleep_awake_hrs,-8.00000000000001e-05
subtraction_time_value,-8.000000000000014e-05
CRP - HS (mg/L)_value (mg/L),-0.00016000000000000015
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",-0.00020000000000000015
Age-related macular degeneration,-0.00020000000000000023
Creatinine (mg/dL)_value (md/dL),-0.0002400000000000002
clock_visuospatial_executive_time_value,-0.00024000000000000025
C-Peptide (ng/mL)_value (ng/mL),-0.0002800000000000002
OTHERWISE NORMAL,-0.00028000000000000025
sleep_rem_hrs,-0.00036000000000000024
Mild cognitive impairmen,-0.00036000000000000035
moca_abstraction_time_value,-0.0003600000000000004
AST (IU/L)_value (IU/L),-0.00040000000000000034
Low blood pressure,-0.00040000000000000034
Bilirubin Total (mg/dL)_value (mg/dL),-0.0005200000000000004
sleep_light_hrs,-0.0005200000000000004
trails_visuospatial_executive_time_value,-0.0006000000000000005
memory_trial1_value,-0.0006000000000000005
Glaucoma (1+),-0.0006400000000000006
moca_orientation_time_value,-0.0006400000000000006
act_sedentary_hrs,-0.0006800000000000006
naming_time_value,-0.0007200000000000007
Parkinson's disease,-0.0008000000000000007
Triglycerides (mg/dL)_value (mg/dL),-0.0008400000000000007
QRS,-0.0008400000000000008
INSULIN (ng/mL)_value (ng/mL),-0.0009200000000000009
Cancer,-0.0010000000000000009
Stroke,-0.001040000000000001
"Protein, Total (g/dL)_value (g/dL)",-0.0010800000000000009
Other neurological conditions,-0.001120000000000001
lettera_time_value,-0.0011600000000000009
Sodium (mEq/L)_value (mEq/L),-0.001200000000000001
QTc,-0.001240000000000001
Urine Creatinine (mg/dL)_value (mg/DL),-0.0014000000000000013
QRSD,-0.0015600000000000013
Hearing impairment,-0.0016000000000000014
NORMAL,-0.0017600000000000016
ABNORMAL,-0.0018000000000000017
trails_visuospatial_executive_value,-0.0018400000000000018
Urinary problems,-0.0019600000000000017
Digestive problems,-0.002280000000000002
fluency_language_value,-0.0025200000000000023
