tag,real_mem_auc_bal,synth_mem_auc_bal,real_mem_auc,synth_mem_auc,iters,data_size,seed,cwc,ad2d,continuous_w_d,latent_cluster_analysis,mca_dist,mca_tvd_dist,combined_clinical_violations,r2r_auc,r2r_prauc,r2r_acc,s2h_auc,s2h_prauc,s2h_acc,r2s_auc,r2s_prauc,r2s_acc,elapsed_time
ehr_mimic_seed0,0.997,0.5004,0.9978,0.4994,5000,0.7,0,7.779226216271253,2.0226598031669147,"{'AGE': [np.float64(0.713399831916365)], 'BMI': [np.float64(0.4435332440533202)], 'DIASTOLIC': [np.float64(1.3606745524192436)], 'SYSTOLIC': [np.float64(2.6703506863878714)]}",[-2.940662060276076],[np.float64(0.4170106115764664)],0.0632297740106742,[0.02726608],0.9190552922910168,0.6251246211293384,0.9086013573325464,0.907548851988542,0.5804603281644434,0.898679551490115,0.8972213560190944,0.5539200201289728,0.8954,137.94508202075957
ehr_mimic_seed1,0.9967,0.4955,0.9971,0.5018,5000,0.7,1,7.808167179940742,1.9754291420817416,"{'AGE': [np.float64(0.7664096051123788)], 'BMI': [np.float64(0.5567691253967266)], 'DIASTOLIC': [np.float64(1.7457259405439287)], 'SYSTOLIC': [np.float64(1.8471722591641497)]}",[-2.952021385643713],[np.float64(0.4170106115764664)],0.0632482197854079,[0.01026357],0.9186231306146804,0.627612694820014,0.9096894364119208,0.9056318483859404,0.5854445588172026,0.8989930658011213,0.8945453899838446,0.5323352957431869,0.8936,137.73648630777996
ehr_mimic_seed2,0.9975,0.4974,0.9979,0.4944,5000,0.7,2,7.859587685666069,2.018150662536809,"{'AGE': [np.float64(0.9318939885572086)], 'BMI': [np.float64(0.5297231546457516)], 'DIASTOLIC': [np.float64(1.9648371243568632)], 'SYSTOLIC': [np.float64(3.650488794338359)]}",[-2.946175614698972],[np.float64(0.4170106115764664)],0.062170761916354,[0.06064569],0.9189193363319638,0.6325328533292675,0.9109434936559456,0.9047283588285236,0.5876633712600889,0.8999151667158454,0.8974878504672896,0.5528958921208991,0.8964333333333333,138.3636998573939
ehr_mimic_seed3,0.9969,0.5022,0.9978,0.5048,5000,0.7,3,7.872597086761612,1.8956498245100424,"{'AGE': [np.float64(0.8825420171271005)], 'BMI': [np.float64(0.5464701866122248)], 'DIASTOLIC': [np.float64(1.6140030804447356)], 'SYSTOLIC': [np.float64(1.6228036525870189)]}",[-2.932348360970111],[np.float64(0.4170106115764664)],0.0626686097248809,[0.0303277],0.9168921923665994,0.6260987608123031,0.9086751254057244,0.9058092895660236,0.591123201854308,0.8996754204780171,0.8928215634897678,0.5465453484951533,0.8944,137.51129757563274
ehr_mimic_seed4,0.9973,0.4998,0.9979,0.5003,5000,0.7,4,7.923929997626635,2.168707399956779,"{'AGE': [np.float64(0.7435561552415864)], 'BMI': [np.float64(0.5472629601264092)], 'DIASTOLIC': [np.float64(2.021732393313673)], 'SYSTOLIC': [np.float64(1.875982211545831)]}",[-2.9441868805482665],[np.float64(0.4170106115764664)],0.068657978599803,[0.00221117],0.9179696561984548,0.624436449135952,0.907015343759221,0.9036518166655384,0.5763899531384132,0.897222632044851,0.8901178394335256,0.5458228660763292,0.8909,138.56663068930308
ehr_mimic_seed5,0.997,0.4998,0.9978,0.4982,5000,0.7,5,7.8474098359681985,1.853883967122447,"{'AGE': [np.float64(0.6587271838311458)], 'BMI': [np.float64(0.5689389912396559)], 'DIASTOLIC': [np.float64(1.7099484763962545)], 'SYSTOLIC': [np.float64(2.580871633901383)]}",[-2.9189186402845984],[np.float64(0.4170106115764664)],0.061429065465718,[0.00248626],0.9186345218037424,0.6339129034047292,0.9094865742106816,0.9068581537729457,0.5871817768439842,0.8988639716730599,0.8981994735861002,0.5534262157972732,0.8943333333333333,137.51129757563274
ehr_mimic_seed6,0.9964,0.5006,0.9968,0.4957,5000,0.7,6,7.868951087374564,1.9913953523138015,"{'AGE': [np.float64(0.9862031344975274)], 'BMI': [np.float64(0.5372254685961259)], 'DIASTOLIC': [np.float64(2.143083808750387)], 'SYSTOLIC': [np.float64(1.8361415857139056)]}",[-2.9246186925709865],[np.float64(0.4170106115764664)],0.0617427542887071,[0.02240863],0.9208808234805386,0.6297768645282662,0.9081587488934788,0.9084396149810992,0.5825080860979677,0.8985320153437593,0.896722440059184,0.5293234799860416,0.8973333333333333,296.155462773641
ehr_mimic_seed7,0.9963,0.5015,0.9974,0.5016,5000,0.7,7,7.779226216271253,2.0226598031669147,"{'AGE': [np.float64(0.713399831916365)], 'BMI': [np.float64(0.4435332440533202)], 'DIASTOLIC': [np.float64(1.3606745524192436)], 'SYSTOLIC': [np.float64(2.6703506863878714)]}",[-2.940662060276076],[np.float64(0.4170106115764664)],0.0632297740106742,[0.02726608],0.9190552922910168,0.6251246211293384,0.9086013573325464,0.907548851988542,0.5804603281644434,0.898679551490115,0.8972213560190944,0.5539200201289728,0.8954,137.94508202075957
ehr_mimic_seed8,0.9972,0.4996,0.9987,0.4988,5000,0.7,8,7.879223674196577,2.1361807904721544,"{'AGE': [np.float64(0.878578448509933)], 'BMI': [np.float64(0.5353734033099142)], 'DIASTOLIC': [np.float64(1.6523382608226094)], 'SYSTOLIC': [np.float64(1.8713966133138953)]}",[-2.9343478198277797],[np.float64(0.4170106115764664)],0.0695950154729104,[0.00202541],0.9178333863115246,0.6222547572511141,0.9090624077899084,0.9029648633557364,0.5759466023416937,0.8980525228681027,0.9019818496640468,0.5501446761653008,0.8972666666666667,146.23816673755647
ehr_mimic_seed9,0.9973,0.4994,0.9983,0.4969,5000,0.7,9,7.861256181740643,2.035562578963219,"{'AGE': [np.float64(0.7830773360711182)], 'BMI': [np.float64(0.5585036402970988)], 'DIASTOLIC': [np.float64(1.4679346424007713)], 'SYSTOLIC': [np.float64(2.8311959127836626)]}",[-2.9440402783916535],[np.float64(0.4170106115764664)],0.063494701957443,[0.00047824],0.9184595834861842,0.6218965174089517,0.9077530244910004,0.9025410610018296,0.5658430396697367,0.8965771614045441,0.8939199761368061,0.5304609212537941,0.8926666666666667,138.67326924006144
